"","germplasmName","predicted.value","std.error","status"
"1","17-2920",132.131454266465,1.4258803350308,"Estimable"
"2","17-4326",133.37806078778,1.41839173335984,"Estimable"
"3","17-5643",135.623758742596,1.41828894232837,"Estimable"
"4","17-6412",130.076443054351,1.41461357966572,"Estimable"
"5","17-6863",130.926382845469,1.40190825057828,"Estimable"
"6","17-7136",129.680257522698,1.41729074642724,"Estimable"
"7","17-7976",129.103805012176,1.42001866419909,"Estimable"
"8","17-7978",130.957042851923,1.41660907708653,"Estimable"
"9","17-8004",128.305623564202,1.41701969941413,"Estimable"
"10","17-8036",132.80718598291,1.40768875611773,"Estimable"
"11","17-8143",132.363069624088,1.42473809004015,"Estimable"
"12","17-8152",133.189414731558,1.42467470867002,"Estimable"
"13","17-8620",128.710787441851,1.39080258399986,"Estimable"
"14","17-8626",129.363245704517,1.39109885343797,"Estimable"
"15","17-8628",129.393672919996,1.39023907600626,"Estimable"
"16","17-8636",127.624352790215,1.39055627666005,"Estimable"
"17","17-8643",127.249304653796,1.41640126960453,"Estimable"
"18","17-8738",127.083470005156,1.4164795509547,"Estimable"
"19","17-8749",131.792109871881,1.38983693295123,"Estimable"
"20","17-8824",132.682093900138,1.38788509349775,"Estimable"
"21","17-8831",133.064297779817,1.38879044067957,"Estimable"
"22","17-8832",129.636067537102,1.40957049527144,"Estimable"
"23","17-8930",127.725169680813,1.36940594635925,"Estimable"
"24","17-8948",130.286759695242,1.4003969831972,"Estimable"
"25","17-9161",131.320642525224,1.42190236819911,"Estimable"
"26","17-9211",133.084742390493,1.41461849715936,"Estimable"
"27","17-9339",132.445872099068,1.39082065397035,"Estimable"
"28","17-9663",131.719851289761,1.42304237553172,"Estimable"
"29","17-9832",133.797037366962,1.42060365027506,"Estimable"
"30","17-9839",133.342488984084,1.42150370682943,"Estimable"
"31","17-9968",133.759748988706,1.41167676423259,"Estimable"
"32","17-10948",129.65213270129,1.4115303308315,"Estimable"
"33","17-10964",129.422669540854,1.41570504828729,"Estimable"
"34","17-12172",128.573419059277,1.42166339443044,"Estimable"
"35","17-12564",130.450995778017,1.40856057497763,"Estimable"
"36","17-12623",133.197006848507,1.40722469331205,"Estimable"
"37","17-12954",131.167170750281,1.41005094247368,"Estimable"
"38","17-13024",132.154588118499,1.4114157357763,"Estimable"
"39","17-13938",134.143926146607,1.42408465684017,"Estimable"
"40","17-15352",132.396154922794,1.4162330422936,"Estimable"
"41","17-15667",129.881493643274,1.42187168875492,"Estimable"
"42","17-17526",133.848496898266,1.41071713979682,"Estimable"
"43","17-17739",134.299655138842,1.38735892275772,"Estimable"
"44","17-18159",127.971825019104,1.41411023659872,"Estimable"
"45","17-18176",128.533939399364,1.41883268596432,"Estimable"
"46","17-18320",130.347110701109,1.40675075908208,"Estimable"
"47","17-18529",130.648211443765,1.41350907844352,"Estimable"
"48","17-18534",132.55662910542,1.38897916869455,"Estimable"
"49","17-19355",133.03680315953,1.38833659167534,"Estimable"
"50","17-19939",127.934201652542,1.4156812834287,"Estimable"
"51","17-20035",130.785860264228,1.41780720768832,"Estimable"
"52","17-20346",131.245226847703,1.41354140009888,"Estimable"
"53","17-20426",131.147504441604,1.41105909685846,"Estimable"
"54","17-20472",127.997284812718,1.416558431471,"Estimable"
"55","17-21447",129.796947968622,1.42045671500374,"Estimable"
"56","17-21812",131.302518673063,1.42758520016215,"Estimable"
"57","17-22168",129.376970405415,1.41512145934034,"Estimable"
"58","17-23868",129.067523561297,1.4111258192184,"Estimable"
"59","17-23874",133.722627779116,1.39048135273827,"Estimable"
"60","17-23902",131.068668466492,1.39036568360715,"Estimable"
"61","17-23904",131.215045919771,1.39055840212683,"Estimable"
"62","17-23912",133.585629705549,1.41129232389135,"Estimable"
"63","17-24508",128.883949632088,1.38476091907427,"Estimable"
"64","17-24663",131.455955281482,1.39107805918387,"Estimable"
"65","17-24977",131.596704077613,1.42281081993707,"Estimable"
"66","17-25205",131.599006960152,1.38731578368118,"Estimable"
"67","17-25738",132.227161648673,1.41674224755472,"Estimable"
"68","17-25927",133.871405547472,1.38605158348458,"Estimable"
"69","17-25930",128.780192863985,1.41951809347231,"Estimable"
"70","17-26647",130.874680349188,1.41958071566979,"Estimable"
"71","17-26648",130.241101740389,1.4194289647986,"Estimable"
"72","17-27510",131.056314339098,1.42385761342721,"Estimable"
"73","17-27559",132.399351520373,1.39137402386916,"Estimable"
"74","17-27649",132.575180350105,1.38854352575446,"Estimable"
"75","17-27660",127.501387165393,1.41942620874988,"Estimable"
"76","17-27914",132.339447021414,1.41146445368365,"Estimable"
"77","17-28445",134.206256735217,1.41314291412597,"Estimable"
"78","17-29513",129.132183657725,1.38766075916883,"Estimable"
"79","17-29544",128.874116283047,1.38705679012206,"Estimable"
"80","17-30178",130.268442393632,1.41399991745675,"Estimable"
"81","17-30209",132.800745814189,1.42069176536111,"Estimable"
"82","17-30219",131.998931635672,1.41458694331873,"Estimable"
"83","17-30322",130.933736047282,1.42548441433338,"Estimable"
"84","17-30333",130.787027772029,1.42127791827124,"Estimable"
"85","17-30335",128.661773540277,1.42090470330678,"Estimable"
"86","17-31124",129.766237287826,1.38675506848651,"Estimable"
"87","17-31229",131.218877383414,1.38993847120648,"Estimable"
"88","17-31374",131.26999007754,1.42240050829178,"Estimable"
"89","17-31541",133.268565226921,1.38838433459172,"Estimable"
"90","17-31555",133.867516192716,1.3870456186317,"Estimable"
"91","17-31616",131.725483884989,1.42352620973447,"Estimable"
"92","07-19334",134.576279049102,1.36601562358592,"Estimable"
"93","Kaskaskia",135.098777254105,1.36447204460497,"Estimable"
"94","16-8048",132.824722734974,1.36684706399053,"Estimable"
"95","16-10427",130.39390428844,1.41785052727621,"Estimable"
"96","16-11226",131.054299245323,1.4241275897126,"Estimable"
"97","16-36048",131.175055307785,1.38978237166424,"Estimable"
"98","16-36176",132.577861916901,1.41119622941152,"Estimable"
"99","16-36206",129.682520353267,1.40812586084572,"Estimable"
"100","US16-IL-065-030",130.080290115871,1.38265058480772,"Estimable"
"101","US16-IL-065-109",131.63452078839,1.3985846203997,"Estimable"
"102","US16-IL-065-111",132.189217992952,1.38191622045893,"Estimable"
"103","US16-IL-065-125",132.267133081939,1.39741824688093,"Estimable"
"104","OH13-88-61",132.76111879227,1.68619866958081,"Estimable"
"105","OH15-191-52",134.647036747517,1.76210780758889,"Estimable"
"106","Pio25R74",134.923502330522,1.40649651836065,"Estimable"
"107","16-8737",134.876732990114,1.41500374026434,"Estimable"
