"","study","germplasmName","predicted.value","std.error","status"
"1","Big6_Fra_23","07-19334",62.2390143506078,0.390591377111645,"Estimable"
"2","Big6_Fra_23","12-26004",61.7763174624978,0.42432043304167,"Estimable"
"3","Big6_Fra_23","16-8048",61.8249513474167,0.466938448401139,"Estimable"
"4","Big6_Fra_23","19-10123",62.5090707377314,0.383596507009698,"Estimable"
"5","Big6_Fra_23","19-12926",63.4930004016888,0.423077629809053,"Estimable"
"6","Big6_Fra_23","19-13414",63.7962995704036,0.363851290255635,"Estimable"
"7","Big6_Fra_23","19-13451",61.9168390986797,0.461283452420382,"Estimable"
"8","Big6_Fra_23","19-13713",63.3610756371944,0.40547617139185,"Estimable"
"9","Big6_Fra_23","19-13978",63.1832823354627,0.434472158050133,"Estimable"
"10","Big6_Fra_23","19-14617",61.7697630787554,0.461619129614731,"Estimable"
"11","Big6_Fra_23","19-14845",60.9298656864913,0.407932943544856,"Estimable"
"12","Big6_Fra_23","19-14933",62.5119298995397,0.368265552701149,"Estimable"
"13","Big6_Fra_23","19-15017",63.0051202278702,0.431181668109802,"Estimable"
"14","Big6_Fra_23","19-16176",61.510190719372,0.43505269422081,"Estimable"
"15","Big6_Fra_23","19-17546",61.5142217237888,0.440395752627026,"Estimable"
"16","Big6_Fra_23","19-17662",61.2935067919953,0.383181595524799,"Estimable"
"17","Big6_Fra_23","19-18153",61.6233213391054,0.381216616892188,"Estimable"
"18","Big6_Fra_23","19-18156",62.2705508020469,0.360899484964605,"Estimable"
"19","Big6_Fra_23","19-18725",61.8587745071131,0.397326338837474,"Estimable"
"20","Big6_Fra_23","19-18826",62.4191153214819,0.35633792762126,"Estimable"
"21","Big6_Fra_23","19-18837",62.142591416055,0.350648177229412,"Estimable"
"22","Big6_Fra_23","19-18957",62.5083850298119,0.413595371168524,"Estimable"
"23","Big6_Fra_23","19-19205",61.7200378454189,0.439713952561633,"Estimable"
"24","Big6_Fra_23","19-20348",60.8993846735031,0.382660763818972,"Estimable"
"25","Big6_Fra_23","19-21467",61.6794852446234,0.399520195482885,"Estimable"
"26","Big6_Fra_23","19-21760",60.8336832261833,0.371733407242645,"Estimable"
"27","Big6_Fra_23","19-21848",61.6989037058998,0.364807832888568,"Estimable"
"28","Big6_Fra_23","19-22757",63.4509580856357,0.354171426479159,"Estimable"
"29","Big6_Fra_23","19-23855",62.9797274364992,0.423882742533538,"Estimable"
"30","Big6_Fra_23","19-25469",61.1631521398992,0.427962812838219,"Estimable"
