"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"50","IL2022-11032",2.73,131.4,35.95,1.94,166.21,58.34,90.15,8.34,"obs:Fair","npt"
"51","IL2022-11058",2.45,133.56,35.71,1.81,169.38,53.47,94.26,6.19,"hd:N, obs:Poor","late, bronze"
"52","IL2022-11064",1.94,132.32,36.55,2,167.63,56.67,83.99,6.65,"obs:Good",""
"53","IL2022-11109",1.9,130.36,35.35,0.8,167.41,58.83,89.26,8.75,"hd:E, obs:Good",""
"54","IL2022-11165",1.88,132.14,35.92,1.87,167,59.99,89.01,7.11,"hd:N, obs:Normal",""
"55","IL2022-11205",1.58,130.95,39.77,2.09,165.74,58.29,90.11,6.33,"obs:Normal",""
"56","IL2022-11220",1.2,134.2,36.63,3.32,167.59,58.43,96.26,8.21,"hd:N, obs:Normal",NA
"57","IL2022-11251",1.42,132.13,36.54,2.13,166.95,60.09,74.64,6.55,"obs:Fair",NA
"58","IL2022-11306",1.61,131.98,38.2,2.82,165.96,60.32,84.35,7.77,"hd:N, obs:Poor",""
"59","IL2022-11324",1.85,131.69,38.97,3.19,167.46,59.77,76.59,7.36,"hd:N, obs:Normal",NA
"60","IL2022-11331",1.68,131.33,37.62,2.32,166.51,58.72,75.09,7.57,"hd:N, obs:Fair",""
"61","IL2022-11334",1.96,130.29,37.33,1.94,166.02,60.71,77.28,6.58,"hd:E, obs:Normal",""
"62","IL2022-11337",1.55,131.73,38.28,1.94,166.95,59.58,84.48,8.83,"hd:N, high biomass, obs:Poor",NA
"63","IL2022-11348",1.84,131.41,36.02,2.52,165.76,61.58,79.69,5.94,"hd:E, obs:Fair",""
"64","IL2022-11349",2.2,130.68,37.42,2.5,168.29,60.83,72.35,5.67,"hd:E, obs:Poor",NA
"65","IL2022-11443",1.14,132.29,37.84,4.26,166.44,58.42,84.5,7.36,"hd:E, obs:Normal",""
"66","IL2022-11457",2.01,132.24,36,2.23,167.15,58.63,81.28,6.42,"obs:Fair",""
"67","IL2022-11462",1.29,130.75,35.59,2.49,169.44,57.45,84.33,8.12,"hd:E, obs:Fair",NA
"68","IL2022-11465",1.46,131.22,38.2,2.38,167.79,59.16,88.04,6.85,"hd:N, obs:Normal",NA
"69","IL2022-11469",1.56,131.58,38.31,2.27,167.23,57.54,78,6.67,"hd:E, obs:Fair",NA
"70","IL2022-11479",1.56,131.55,37.4,4.86,167.36,57.07,85.24,7.61,"hd:E, obs:Poor",""
"71","IL2022-11508",1.48,129.14,35.72,2.21,165.83,59.24,90.54,7.44,"hd:E, thick, obs:Excellent ",NA
"72","IL2022-11520",1.65,129.66,36.77,1.78,167.12,59.16,81.71,6.03,"hd:E, obs:Fair",NA
"73","IL2022-11527",1.41,128.94,37.27,2.36,165.8,57.44,85.52,6.7,"hd:E, obs:Excellent ",NA
"74","IL2022-11535",1.48,128.03,37.3,2.16,163.52,58.19,83.73,6.51,"hd:E, obs:Normal",""
"75","IL2022-11561",1.53,130.69,37.44,2.15,167.38,57.96,77.48,6.76,"hd:E, obs:Excellent ","thick"
"76","IL2022-11566",1.54,130.57,38.58,3.2,166.44,56.73,82.95,6.49,"hd:N, obs:Fair",""
"77","IL2022-11571",1.71,130.99,37.99,2.86,167.29,56.39,93.99,6.54,"obs:Good",""
"78","IL2022-11602",1.83,128.5,36.72,2.21,164.7,57.3,84.13,8.14,"obs:Poor",""
"79","IL2022-11621",1.86,127.09,36.04,2.63,164,56.42,72.02,5.94,"hd:E, obs:Normal",""
"80","IL2022-11669",1.19,133.2,37.02,2.6,164.82,58.61,86.9,7.64,"hd:N, obs:Normal",NA
"81","IL2022-11724",1.51,132.37,38.23,1.9,167.58,60.21,89.22,6.75,"hd:N, obs:Normal",""
"82","IL2022-11816",1.44,131.96,35.56,2.84,167.01,58.25,87.66,7.01,"obs:Normal",NA
"83","IL2022-11818",1.11,131.13,36.89,3.43,165.23,58.44,88.82,6.06,"obs:Fair",""
"84","IL2022-11828",1.55,131.93,36.91,1.58,169.01,58.45,82.5,6.56,"hd:N, obs:Poor",""
"85","IL2022-11908",1.23,131.67,39.65,3.89,167.69,57.1,74.82,6.06,"obs:Poor",""
