"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"241","IL2022-15767",1.57,131.98,33.11,1.24,170.53,57.54,86.76,6.51,"hd:L, obs:Normal","large flag leaf, dark green, long spikes"
"242","IL2022-15776",1.3,133.73,37.34,0.76,168.78,57.59,91.34,7.4,"obs:Normal",NA
"243","IL2022-15777",1.3,132.1,34.66,1.22,167.65,58.88,92,7.74,"obs:Good",""
"244","IL2022-15779",1.65,131.94,35.9,0.35,167.94,58.91,89.95,7.83,"obs:Normal",NA
"245","IL2022-15802",1.66,132.25,34.94,1.31,167.23,58.04,94.79,6.32,"",""
"246","IL2022-15944",2.33,132.2,37.87,3.95,169.76,58.61,96.45,7.44,"obs:Excellent ","late, bearded"
"247","IL2022-15947",2.63,132.06,36.13,3.06,166.38,58.71,82.37,6.85,"hd:N, obs:Poor",""
"248","IL2022-15961",2.03,131.69,36.38,2.07,168.48,59.73,90.01,7.64,"hd:N, obs:Normal",""
"249","IL2022-15968",1.55,131.78,37.94,3.04,167.11,57.82,85.06,6.08,"obs:Fair",""
"250","IL2022-16032",1.4,130.94,40.29,2.03,166.98,58.59,83.86,6.51,"obs:Fair",""
"251","IL2022-16171",2.3,132.8,34.95,1.81,168.66,58.14,96.63,7.57,"obs:Fair",""
"252","IL2022-16201",1.98,131.16,39.34,2.3,165.98,58.39,79.43,7.17,"hd:E, obs:Normal",""
"253","IL2022-16308",1.3,133.05,35.76,2.51,167.44,57.87,78.71,7.37,"hd:N, obs:Fair",NA
"254","IL2022-16344",1.76,131.28,35.53,2.74,167.5,59.3,86.8,6.78,"hd:N, obs:Poor",NA
"255","IL2022-16348",1.41,131.33,36.22,3.29,165.85,57.58,87.08,6.53,"obs:Fair",NA
"256","IL2022-16374",1.74,132.71,36.93,1.82,169.42,57.48,90.46,7.77,"obs:Normal",""
"257","IL2022-16411",2.16,130.91,36.83,1.92,167.63,58.94,92.07,8.01,"hd:N, obs:Normal",""
"258","IL2022-16436",1.95,133.45,37.91,2.39,169.39,59.61,91.44,7.34,"hd:N, obs:Normal",""
"259","IL2022-1645",1.03,127.92,37.73,2.57,165.7,57.3,85.79,6.38,"hd:E, obs:Fair",NA
"260","IL2022-16451",2.32,132.54,37.03,1.64,167.43,58.47,83.18,7.25,"hd:L, obs:Poor",NA
"261","IL2022-16454",1.81,134.4,39.27,2.38,167.6,59.13,81.81,7.14,"hd:N, obs:Poor",NA
"262","IL2022-16476",1.83,132.2,38.07,3.03,168.06,59.71,84.2,6.47,"hd:L, obs:Fair",""
"263","IL2022-16516",2.22,133.73,37.05,2.89,166.47,59.81,81.33,6.78,"hd:E, obs:Fair",NA
"264","IL2022-16525",1.98,132.13,37.02,2.29,166.58,58.47,85.27,6.5,"hd:E, obs:Normal",""
"265","IL2022-16557",2.07,131.93,36.47,2.44,167.51,56.51,84.17,5.54,"obs:Fair",""
"266","IL2022-16561",1.89,131.84,37.06,2.81,168.59,59.19,86.99,6.6,"obs:Normal",NA
"267","IL2022-16566",2.22,132.8,36.9,1.97,166.53,59.08,83.98,7.28,"hd:N, obs:Normal",NA
"268","IL2022-16572",1.58,132.15,37.05,2.56,167.84,58.62,92.4,6.1,"obs:Good",""
"269","IL2022-16613",1.75,130.3,35.41,2.86,167.05,58.54,86.47,6.75,"obs:Poor",""
"270","IL2022-16617",2.31,132.91,37.02,2.2,167.65,56.55,86.32,7.21,"obs:Fair",""
"271","IL2022-16620",1.55,131.83,35.05,2.43,168.36,59.6,86.15,7.25,"hd:N, obs:Fair",""
"272","IL2022-16662",2.25,129.91,36,2.08,166.8,59.47,80.49,6.51,"hd:E, obs:Normal",NA
"273","IL2022-16720",1.37,130.13,38.06,1.48,166.47,59.66,82.16,6.69,"hd:E, obs:Poor",""
"274","IL2022-16725",1.44,130.48,35.81,1.79,167.48,57.17,84.55,6.86,"hd:E, obs:Fair",""
"275","IL2022-16748",1.58,131.8,39.2,2.65,165.03,58.03,90.81,5.86,"hd:E, obs:Fair",""
"276","IL2022-1675",1.27,132.46,35.7,2.08,165.03,57.25,89.43,7.44,"hd:E, obs:Fair",""
"277","IL2022-16756",1.39,132.43,38.44,3.29,164.57,57.85,82.42,5.79,"obs:Normal",""
"278","IL2022-16777",1.24,133.24,37.76,3,165.51,58.68,82.74,5.79,"obs:Fair",NA
"279","IL2022-16849",1.33,133.61,37.25,2.63,166.04,59.73,85.02,7.54,"hd:N, obs:Fair",""
"280","IL2022-16865",1.39,132.94,38.26,3.81,167.5,58.47,84.95,7.88,"hd:N, obs:Poor",NA
"281","IL2022-16870",1.84,132.45,39.66,2.28,167.77,58.02,89.6,7.28,"obs:Poor",""
"282","IL2022-16961",1.71,131.46,36.59,2.28,168.26,61.51,86.31,0.13,"hd:N, obs:Poor",NA
"283","IL2022-16979",1.88,131.75,36.56,2.23,167.26,61.77,85.3,8.26,"obs:Poor",""
"284","IL2022-17009",1.69,132.41,37.28,1.53,169.32,59.63,92.48,8.05,"hd:N, obs:Fair",""
"285","IL2022-1701",1.6,131.3,36.27,2.82,164.39,56.1,88.24,8.18,"hd:E, obs:Fair",NA
"286","IL2022-17011",2.03,131.7,35.49,2.31,165.56,59.62,83.09,7.09,"hd:E, obs:Poor",""
"287","IL2022-17014",1.63,131.71,34.91,2.8,167.05,62,87.62,8.14,"hd:N, obs:Fair",""
"288","IL2022-17039",1.63,132.95,37.86,2.75,167.08,59.21,99.45,7.9,"hd:N, obs:Fair",""
"289","IL2022-17063",1.92,132.58,37.57,2.65,169.04,59.26,82.86,8.2,"hd:N, obs:Normal",""
"290","IL2022-17066",2.6,131.27,35.41,1.35,168.21,59.72,86.55,8.08,"obs:Normal",NA
"291","IL2022-17103",1.89,132.68,37.6,2.23,166.33,58.72,85.16,7.55,"obs:Normal",NA
"292","IL2022-17137",1.32,133.49,34.44,2.02,168.65,61.36,88.72,8.18,"hd:N, obs:Normal",NA
"293","IL2022-17148",0.85,132.61,37.33,1.68,167.87,60.4,84.54,7.35,"hd:N, obs:Normal",NA
"294","IL2022-17152",0.94,132.29,34.98,1.08,169.05,60,91.05,9.05,"hd:N, obs:Normal",""
"295","IL2022-17208",1.12,132.71,36.77,2.02,166.52,59.42,85.07,8.06,"hd:N, obs:Normal",""
"296","IL2022-17228",0.87,131.92,39.06,1.81,167.65,60.84,90.85,7.26,"hd:N, obs:Normal",""
"297","IL2022-17244",1.47,130.87,36.79,2,167.16,60.57,91.04,6.57,"hd:E, obs:Fair",NA
"298","IL2022-17314",1.41,130.53,34.7,2.44,165.64,58.98,82.73,6.77,"hd:E, obs:Fair","mixed"
"299","IL2022-17322",1.58,132.01,35.43,2.44,167.87,59.12,91.09,7.77,"hd:N, obs:Normal",NA
"300","IL2022-17329",1.43,131.51,34.86,2.06,168.03,58.82,80.5,7.25,"hd:E, obs:Normal",""
"301","IL2022-17337",1.35,129.84,35.4,2.55,165.97,58.91,86.08,6.5,"hd:E, obs:Fair",NA
"302","IL2022-17346",1.74,131.75,35.35,3.06,168.7,58.48,89.85,5.39,"obs:Good",NA
"303","IL2022-17452",1.34,132.63,36.9,2.2,167.5,58.95,89.4,7.45,"obs:Normal",""
"304","IL2022-17455",0.93,132.43,37.95,2.53,167.52,59.67,76.21,7.63,"hd:N, obs:Fair",""
"305","IL2022-17471",1.36,131.51,35.39,1.83,166.8,60.73,80.07,7.51,"hd:N, obs:Normal",NA
"306","IL2022-17507",1.58,130.39,38.29,2.18,168.25,59.85,91.76,8.04,"hd:E, obs:Good",NA
"307","IL2022-17515",1.78,131.5,38.61,1.7,168.14,60.22,75.06,6.57,"hd:N, obs:Normal",NA
"308","IL2022-17575",2.12,129.36,36.35,2.66,167.25,58.85,81.92,6.96,"obs:Normal",NA
"309","IL2022-17620",1.66,134.09,37.14,2.94,167.24,60.72,83.18,8.14,"hd:N, obs:Normal",NA
"310","IL2022-17621",2.1,133.02,36.26,2.37,166.24,58.93,81.88,7.82,"hd:N, obs:Normal","thick, seg"
"311","IL2022-17624",1.73,134.12,37.88,2.82,169.1,60.48,88.05,7.85,"hd:L, obs:Normal",NA
"312","IL2022-17625",1.92,133.05,38.35,3.39,167.55,59.82,79.57,6.04,"obs:Normal",""
"313","IL2022-17664",1.54,130.99,37.06,2.29,165.98,59.41,87.41,6.42,"hd:E, obs:Fair",""
"314","IL2022-17738",1.48,132.69,38.5,1.63,168.36,58.85,81.39,7.88,"hd:N, obs:Poor",""
"315","IL2022-17769",1.39,133.19,38.13,2.32,167.3,59.59,83.37,7.37,"hd:E, obs:Fair",""
"316","IL2022-17816",2.42,134.77,37.11,3.01,169.3,58.27,88.88,7.64,"obs:Good",NA
"317","IL2022-17844",1.05,131.81,38.34,3.54,166.12,59.36,83.33,7.84,"hd:N, obs:Fair",""
"318","IL2022-17861",1.56,130.17,35.81,0.88,166.81,56.43,89.23,6.12,"hd:E, obs:Normal",NA
"319","IL2022-17869",1.86,129.94,37.08,2.44,165.49,58.36,88.23,8.08,"hd:E, obs:Normal",NA
"320","IL2022-17915",1.68,131.93,35.82,1.54,166.13,59.21,84.91,7.87,"obs:Normal",NA
"321","IL2022-17929",1.85,130.36,35.7,0.78,166.9,60.41,74.56,7.25,"hd:E, obs:Normal",NA
"322","IL2022-17934",1.78,132.1,37.7,2.1,168.13,60.73,84.19,7.33,"hd:E, obs:Normal",""
"323","IL2022-17935",1.48,131.31,38.01,0.89,166.17,60.69,83.04,7.12,"hd:E, obs:Normal",""
"324","IL2022-18009",1.63,132.28,36.7,0.51,167.23,59.62,81.61,7.41,"obs:Good",NA
"325","IL2022-18037",2,129.6,37.84,0.78,166.06,60.74,90.15,8.47,"hd:E, obs:Normal",NA
"326","IL2022-18049",1.88,130.63,38.06,2.46,169.46,60.44,90.68,8.07,"hd:N, obs:Good",""
"327","IL2022-1806",1.84,131.37,36.77,2.64,165.9,57.54,76.59,6.77,"hd:E, obs:Normal",""
"328","IL2022-18061",1.37,133.28,38.57,1.96,168.91,57.31,95.59,7.54,"hd:N, obs:Normal",""
"329","IL2022-18101",1.56,130.8,39.81,1.55,166.2,59.01,83.34,7.59,"hd:N, obs:Normal",""
"330","IL2022-18139",1.42,131.98,36.26,3,167.89,56.09,97.76,8.05,"hd:N, obs:Normal",NA
"331","IL2022-1816",1.22,129.47,37.29,2.49,164.59,56.45,80.49,7.72,"hd:E, obs:Fair",""
"332","IL2022-18225",1.28,130.46,37.85,2.69,166.05,59.08,82.86,7.12,"hd:E, obs:Fair",""
"333","IL2022-1829",1.6,130.99,38.9,2.48,165.46,57.71,78.48,6.55,"hd:E, obs:Poor",""
"334","IL2022-1834",1.08,131.78,37.35,3.2,166.17,57.96,82.87,6.31,"obs:Good",NA
"335","IL2022-18345",1.38,132.44,39.09,2.25,168.28,57.81,91.68,7.56,"see down row",""
"336","IL2022-18377",0.95,129.39,37.16,2.34,166.51,58.53,81.36,7.04,"hd:E, obs:Poor",""
"337","IL2022-18573",1.72,131.58,37.15,1.56,167.13,58.58,74.15,7.71,"hd:L, dense, big flag leaf, obs:Normal",""
"338","IL2022-18613",0.95,130.74,38.81,2.66,164.1,59.39,78.58,5.85,"hd:E, obs:Poor",""
"339","IL2022-18632",0.97,131.29,39.21,2.53,165.43,59.36,81.14,6.94,"hd:E, obs:Normal",""
"340","IL2022-18655",1.39,132.9,36.44,1.55,166.92,59.89,87.74,7.66,"hd:N, obs:Normal",NA
"341","IL2022-18736",1.42,131.56,36.75,0.79,166.82,60.29,82.44,6.28,"hd:N, obs:Fair",NA
"342","IL2022-18751",1.86,133.61,37.32,2.08,168.86,60.33,89.58,7.36,"hd:N, obs:Normal",NA
"343","IL2022-18755",1.73,133.69,35.83,1.62,167.71,58.86,82.32,6.13,"hd:L, obs:Normal",NA
"344","IL2022-18763",1.29,132.72,35.99,1.13,166.85,60.64,85.06,8.09,"hd:N, obs:Good",""
"345","IL2022-18768",1.16,132.3,36.39,0.99,167.87,60.86,82.84,6.37,"obs:Fair",""
"346","IL2022-18769",1.84,132.14,37.58,1.57,166.45,59.36,85.74,7.62,"obs:Normal",""
"347","IL2022-18772",1.71,132.73,36.89,1.57,167.02,59.81,89.95,6.48,"obs:Normal",""
"348","IL2022-18801",1.76,131.38,37.33,0.85,166.51,59.21,86.15,7.13,"hd:N, obs:Normal",""
"349","IL2022-18811",1.53,130.79,38.27,1.79,167.22,60.11,85.57,6.15,"obs:Normal",""
"350","IL2022-18820",1.46,131.81,39.47,1.62,167.84,59.81,90.67,7.96,"obs:Normal",""
"351","IL2022-18823",1.47,130.53,38.01,1.7,165.21,59.89,77.92,7.13,"obs:Fair",""
"352","IL2022-18868",1.69,132.75,36.78,1.32,166.62,58.24,88.72,6.76,"hd:N, obs:Good",NA
"353","IL2022-18869",1.65,132.05,36.77,2,167.5,57.91,80.61,6.79,"hd:N, obs:Normal",""
"354","IL2022-18908",1.38,134.71,37.07,2.07,167.82,59.04,86.24,5.63,"hd:N, obs:Poor",""
"355","IL2022-18920",2.02,133.4,35.02,2.8,168.31,57.11,85.45,7.14,"obs:Poor",""
"356","IL2022-18929",1.81,132.59,33.82,2.84,168.68,57.51,76.5,7.32,"hd:N, obs:Normal",""
"357","IL2022-18954",1.95,134.04,35.48,3.07,166.58,57.61,79.71,7.55,"hd:L, obs:Normal",NA
"358","IL2022-19026",2.14,133.7,36.48,3.14,166.62,60.17,85.61,6.45,"obs:Normal",NA
"359","IL2022-19036",2.01,134.66,35.63,2.06,168.29,60.01,79.17,6.74,"hd:N, obs:Fair",NA
"360","IL2022-19043",1.8,133.36,35.33,2.29,168.6,59.22,78.34,8.28,"hd:N, obs:Good",NA
"361","IL2022-1906",1.49,130,38.39,4.31,165.98,55.73,78.98,8.39,"hd:E, obs:Poor",""
"362","IL2022-19116",1.14,128.68,37.33,1.35,165.7,58.89,81.77,6.11,"hd:E, obs:Fair",""
"363","IL2022-19141",1.3,132.03,36.47,1.62,167.15,58.25,77.95,7.56,"hd:E, obs:Normal",""
"364","IL2022-19142",1.75,129.55,36.87,1.55,166.21,57.47,78.87,6.98,"hd:E, obs:Normal",NA
"365","IL2022-19160",1.12,129.59,37.44,1.5,166.49,58.73,84.78,6.34,"obs:Normal",NA
"366","IL2022-19169",1.71,129.96,38.94,1.36,167.22,57.19,84.47,6.49,"hd:E, obs:Fair",NA
"367","IL2022-1917",2.04,131.37,39.63,2.92,166.66,58.79,84.41,7.43,"hd:N, obs:Fair",NA
"368","IL2022-19216",1.02,129.34,36.72,2.23,164.76,57.54,79.55,5.35,"hd:E, obs:Normal",""
"369","IL2022-19249",0.81,129.65,36.54,1.2,165.16,58.52,83.54,6.5,"hd:E, obs:Normal",NA
"370","IL2022-19268",1.41,130.14,35.82,2.08,163.64,57.3,85.27,6.22,"hd:E, obs:Normal",""
"371","IL2022-19273",1.7,129.76,37.38,2.04,165.3,57.35,79.37,6.49,"obs:Normal",""
"372","IL2022-19278",1.19,130.47,37.1,1.45,164.94,59.69,80.57,5.65,"hd:E, obs:Fair",NA
"373","IL2022-19302",1.33,131.76,35.48,1.79,166.47,59.08,86.99,8.2,"hd:L, obs:Normal",""
"374","IL2022-19306",1.22,130.7,37.89,1.28,166.9,58.68,84.51,6.72,"hd:E, obs:Normal",NA
"375","IL2022-19422",2.08,130.28,34.8,2.17,167.96,58.64,80.66,7.07,"hd:E, obs:Normal",""
"376","IL2022-19442",1.79,133.1,38.47,2.97,166.55,56.99,87.12,6.82,"obs:Fair",""
"377","IL2022-19446",1.67,134.8,36.74,2.05,167.23,59.58,92.34,7.12,"hd:N, obs:Normal",""
"378","IL2022-19456",2.34,134.84,35.48,2.65,169.07,59.29,83,7.93,"hd:L, late, obs:Good",NA
"379","IL2022-19457",1.93,135.55,37.91,2.29,167.96,60.19,78.34,6.56,"hd:N, obs:Fair",NA
"380","IL2022-19470",2.17,132.28,37.45,2.77,168.21,60.7,89.46,7.14,"obs:Fair",""
"381","IL2022-19508",1.95,133.09,34.89,3.18,168.49,60.05,78.11,6.62,"lots of heads, obs:Poor",NA
"382","IL2022-19520",2.22,133.02,37.94,3.12,167.61,58.17,94.61,8.07,"hd:N, obs:Normal","good canopy closure"
"383","IL2022-19528",2.52,134.97,35.81,2.98,168.3,58.08,84.45,7.59,"hd:N, obs:Good",""
"384","IL2022-19531",1.8,132.93,36.86,2.64,166.98,60.3,78.82,8.08,"hd:N, obs:Normal",NA
"385","IL2022-19539",2.15,133.39,37.25,2.59,169.45,59.75,87.92,7.68,"obs:Poor",""
"386","IL2022-19542",1.89,133.48,34.79,2.99,167.37,58.97,85.97,6.04,"obs:Fair",""
"387","IL2022-19572",1.52,134.36,36.38,1.87,167.05,59.31,90.08,7.08,"hd:L, obs:Normal","thick"
"388","IL2022-19749",1.61,130.78,35.94,2.06,166.41,58.71,87.08,6.89,"obs:Good",NA
"389","IL2022-19766",1.64,132.79,38.45,2.48,167.39,58.39,83.75,7.43,"hd:N, obs:Fair",""
"390","IL2022-19769",1.25,129.76,37.85,1.71,166.3,57.09,76.83,6.54,"hd:N, obs:Normal",NA
"391","IL2022-19777",1.38,130.5,35.87,2.07,167.93,56.45,82.31,6.86,"hd:E, obs:Fair",""
"392","IL2022-19803",1.23,130.76,36.63,2.28,166.51,59.04,78.7,8.09,"hd:E, obs:Fair",NA
"393","IL2022-19869",1.84,132.96,37.06,2.52,168.63,59.48,91.81,6.4,"obs:Good",""
"394","IL2022-19879",1.53,131.2,35.37,2.31,167.75,57.66,85.71,7.34,"obs:Normal","lots of heads"
"395","IL2022-19921",1.77,133.08,36.96,2.06,168.41,58.62,84.19,6.79,"hd:N, obs:Fair","mixed"
"396","IL2022-19927",1.89,131.27,37.02,2.92,170.31,56.78,72.35,6.35,"obs:Normal",NA
"397","IL2022-19937",1.56,133.29,36.54,2.53,170.14,58.28,84.04,7.82,"obs:Good",NA
"398","IL2022-19944",1.63,132.16,35.19,2.57,167.96,59.61,83.7,7.42,"obs:Normal",""
"399","IL2022-20026",1.95,132.81,38.29,2.84,168.17,57.54,65.78,5.43,"hd:N, segregating, obs:Poor",NA
"400","IL2022-20076",1.68,132.44,36.34,1.76,167.58,60.89,82.86,7.89,"hd:N, obs:Fair","mixed"
"401","IL2022-20122",1.4,130.58,35.4,2.09,167.68,61.1,82.17,8.08,"hd:N, obs:Normal",NA
"402","IL2022-20155",1.76,133.43,36,2.76,167.52,59.95,81.78,7.59,"hd:N, obs:Fair","mixe"
"403","IL2022-20165",1.29,133.25,37.99,2.88,169.3,61.09,83.8,7.96,"hd:N, obs:Normal",NA
"404","IL2022-20179",1.44,132.4,38.64,2.99,169.15,59.05,81.4,5.5,"hd:N, obs:Fair",""
"405","IL2022-20264",1.39,131.72,39.52,3.58,166.62,57.63,82.16,7.65,"hd:N, obs:Fair",NA
"406","IL2022-20305",1.91,130.03,37.15,3.36,166.28,56.85,82.61,7.77,"obs:Fair",NA
"407","IL2022-20314",1.72,132.15,37.19,3.57,166.56,58.23,81.08,6.81,"hd:N, obs:Normal",""
"408","IL2022-20325",1.48,131.82,36.98,3.55,165.62,58.9,95.55,7.1,"hd:E, obs:Normal",NA
"409","IL2022-20372",1.54,130.79,38.18,3.58,166.34,58.84,78.28,6.21,"hd:E, obs:Normal",NA
"410","IL2022-20401",1.69,130.36,38.9,3.36,165.05,58.68,77.11,7.05,"hd:E, obs:Fair",""
"411","IL2022-20420",2.13,129.9,38.83,1.88,166.97,57.69,83.03,7.58,"hd:N, obs:Fair",""
"412","IL2022-20421",1.66,130.78,37.79,2,168.49,60.42,93.08,8.54,"hd:N, obs:Fair",""
"413","IL2022-20424",1.96,131.57,38.31,2.6,166.24,58.19,86.65,7.32,"hd:E, obs:Normal",NA
"414","IL2022-20427",1.85,132.79,38.42,1.95,167.23,58.44,89.23,8.64,"hd:N, obs:Fair",""
"415","IL2022-20435",1.62,129.47,38.31,1.6,164.86,60.07,79.72,6.28,"hd:E, obs:Normal",NA
"416","IL2022-20441",1.59,130.3,38.7,2.1,164.9,58.81,86.17,5.11,"hd:E, obs:Normal",""
"417","IL2022-20504",1.94,129.56,36.62,2.1,167.38,57.6,88.75,6.36,"hd:E, obs:Fair",""
"418","IL2022-20509",1.89,131,38.14,1.84,167.06,58.83,81.53,6.92,"hd:E, obs:Fair",""
"419","IL2022-20670",1.07,132.71,38.64,3.36,167.41,59.57,91.79,7.43,"obs:Normal",NA
"420","IL2022-2068",1.38,129.38,35.95,2.13,165.36,56.57,87.31,7.31,"hd:E, obs:Good",NA
"421","IL2022-20730",1.78,132.77,39.32,4.47,166.44,59.8,77.43,7.23,"hd:N, obs:Poor",NA
"422","IL2022-20741",2.08,133.67,36.91,4.26,167.37,57.86,90.22,6.72,"hd:N, obs:Fair","thick, npt"
"423","IL2022-20744",2.39,132.35,36.85,2.91,168.05,60.52,88.3,7.59,"hd:N, obs:Normal",NA
"424","IL2022-20757",1.81,131.75,35.57,3.12,166.33,60.17,83.72,7.3,"hd:N, obs:Normal",""
"425","IL2022-20830",1.7,132.42,33.98,1.08,165.88,58.95,83.93,6.57,"hd:N, obs:Good",""
"426","IL2022-20844",1.59,132.55,33.61,1.15,167.27,58.55,88.87,7.47,"hd:N, obs:Good",NA
"427","IL2022-20848",1.4,131.49,35.37,1.06,167.54,59.47,81.44,7.45,"obs:Good",""
"428","IL2022-20874",1.95,132.23,35.49,1.65,167.41,58.8,85.73,7.91,"hd:N, obs:Good",""
"429","IL2022-20878",1.71,130.74,35.01,1.33,165.58,58.1,86.81,6.71,"hd:E, npt, obs:Normal",NA
"430","IL2022-20936",1.61,126.87,38.25,2.51,163.94,59.6,73.44,5.24,"hd:E, obs:Normal",""
"431","IL2022-20953",1.23,130.23,37.38,1.67,167.33,61.19,84.44,7.97,"hd:N, obs:Fair",NA
"432","IL2022-20959",1.68,132.04,36.3,1.57,167.34,59.81,86.12,7.39,"obs:Good","thick"
"433","IL2022-21008",1.77,130.5,37.35,1.68,166.35,57.98,90.24,7.74,"hd:E, obs:Normal",NA
"434","IL2022-21018",1.31,131.91,35.2,1.16,168.2,57.21,92.08,8.31,"hd:E, obs:Normal",""
"435","IL2022-2109",1.35,131.54,39.31,3.29,165.5,56.85,85.19,7.14,"hd:E, obs:Poor",""
"436","IL2022-21128",1.76,128.03,37.24,3.36,165.65,57.02,82.43,5.9,"hd:E, obs:Poor",NA
"437","IL2022-21130",1.7,129.81,36.15,2.39,167.05,57.59,82.05,6.54,"hd:E, obs:Fair",""
"438","IL2022-21133",1.59,129.05,37.18,3.06,165.84,57.75,82.32,7,"hd:E, obs:Fair",NA
"439","IL2022-21211",1.76,132.14,38.18,2.73,167.77,58.74,88.75,7.3,"hd:N, obs:Normal",""
"440","IL2022-21238",2.17,132.26,38.97,2.43,168,59.53,89.46,6.98,"hd:N, segregation or offtypes?, mixed, obs:Fair","segregating"
"441","IL2022-21272",1.68,131.32,36.47,2.16,165.9,57.91,83.62,7.29,"hd:N, obs:Normal",""
"442","IL2022-21310",1.27,132.52,37.17,1.75,166.08,56.98,90.39,6.54,"obs:Fair",""
"443","IL2022-21312",1.5,129.94,37.9,1.83,166.16,58.83,81.51,6.88,"hd:E, obs:Normal",NA
"444","IL2022-21348",1.5,129.74,35.95,2.49,165.23,57.54,90.11,7.04,"obs:Fair",NA
"445","IL2022-21528",1.7,133.12,38.63,2.6,167.14,57.58,84.49,7.98,"hd:N, obs:Poor",NA
"446","IL2022-21535",1.69,130.38,38.98,3.09,165.82,56.8,83.16,6.91,"hd:N, obs:Normal",""
"447","IL2022-21538",1.4,133.25,38.02,3.19,165.77,57.24,81.81,7.78,"obs:Poor",""
"448","IL2022-2156",1.02,131.1,37.81,3.83,165.15,56.96,76.59,7.46,"obs:Fair","thick"
"449","IL2022-2157",1.19,130.48,40.27,4.13,165.35,57.82,84.31,7.89,"hd:E, obs:Poor",""
"450","IL2022-21618",1.64,133.82,37.33,2.32,169.11,59.61,92.81,7.63,"obs:Normal",""
"451","IL2022-21629",1.7,132.14,37.42,2.37,168.11,60.51,91.09,7.4,"hd:L, obs:Fair",""
"452","IL2022-21633",2.15,133.93,36.54,2.43,168.54,60.27,92.63,8.12,"hd:L, obs:Normal",NA
"453","IL2022-21643",1.51,133.68,35.25,2.51,169.74,59.42,93.13,7.93,"hd:L, obs:Normal",""
"454","IL2022-21666",2.01,132.28,37.75,2.65,167.23,59.09,94.85,6.99,"obs:Normal",""
"455","IL2022-21673",1.93,133.76,37.9,2.81,167.13,58.81,94,5.21,"hd:L, obs:Fair",""
"456","IL2022-21754",2.38,131.39,37.36,1.8,169.68,60.36,81.78,8.04,"hd:N, obs:Normal",NA
"457","IL2022-21758",2.16,132.66,35.84,1.78,169.64,59.36,92.36,8.48,"hd:N, obs:Normal",""
"458","IL2022-21774",1.79,130.1,34.88,1.74,165.99,56.61,80.55,6.78,"hd:E, obs:Good",""
"459","IL2022-2178",1.71,132.06,37.97,2.5,166.31,58.04,83.06,5.68,"obs:Normal",""
"460","IL2022-21804",1.94,128.95,35.95,2.59,166.21,59.07,82.48,6.59,"hd:E, obs:Normal",NA
"461","IL2022-21879",0.74,131.05,36.32,1.85,165.59,59.9,82.52,7.62,"obs:Normal",NA
"462","IL2022-21937",1.34,129.83,39.53,2.9,165.6,59.08,90.99,7.14,"hd:N, obs:Normal",NA
"463","IL2022-21974",1.72,131.4,37.95,2.39,167.24,59.42,86.05,7.64,"hd:E, obs:Normal",""
"464","IL2022-22012",1.35,131.95,38.57,4.15,166.97,60.18,89.57,8.01,"hd:N, obs:Fair",""
"465","IL2022-2202",1.76,131.95,37.64,2.89,167.37,58.12,77.41,7.03,"hd:N, obs:Fair",""
"466","IL2022-22021",1.81,130.85,35.47,2.83,166.92,58.59,81.85,6.4,"hd:E, obs:Fair",NA
"467","IL2022-22035",1.21,132.68,38.25,3.29,168.07,60.81,89.18,7.99,"hd:N, obs:Normal",""
"468","IL2022-22045",1.44,132.53,36.73,2.75,166.61,59.7,86.73,7.63,"obs:Fair",""
"469","IL2022-2206",1.36,130.39,39.75,3.5,165.73,57.11,88.28,7.11,"hd:N, obs:Poor",""
"470","IL2022-22078",1.25,131.93,35.64,3.25,167.17,59.09,87.01,7.03,"hd:E, obs:Good",NA
"471","IL2022-22115",1.21,132.35,37.21,2.52,168.32,59.58,89.7,7.04,"hd:N, obs:Fair",""
"472","IL2022-22124",1.34,132.68,38.08,2.22,167.21,58.92,84.38,6.99,"hd:N, obs:Normal",NA
"473","IL2022-22142",2.03,132.28,36.74,1.93,167.2,57.58,89.95,8.68,"hd:E, obs:Good",""
"474","IL2022-22145",1.94,130.27,38.15,2.22,168.4,58.98,82.61,6.48,"hd:E, obs:Fair",NA
"475","IL2022-22147",1.58,133.29,35.31,2.33,167.88,59.99,82.66,7.13,"sprawling, obs:Poor",""
"476","IL2022-22150",1.44,130.56,35.85,2.81,164.44,59.66,92.17,7.52,"hd:E, ve, obs:Excellent ",""
"477","IL2022-22210",1.37,132.36,37.13,1.94,166.49,59.31,85.69,7.76,"hd:N, obs:Good",""
"478","IL2022-22222",1.62,131.14,35.77,2.36,166.29,59.05,86.22,8.12,"obs:Normal",NA
"479","IL2022-22257",1.11,133.11,36.84,1.8,165.78,58.33,84.52,7.99,"hd:N, obs:Normal",NA
"480","IL2022-22335",1.75,131.44,39.58,2.66,165.82,58.28,81.99,6.59,"obs:Fair",""
"481","IL2022-22341",1.5,131.73,38.39,2.9,166.8,61.5,70.33,6.7,"obs:Normal",NA
"482","IL2022-22416",1.33,130.66,39.63,1.8,167.53,58.53,81.2,7.69,"obs:Fair",""
"483","IL2022-22458",2.51,135.17,34.78,1.27,170.77,56.67,89.36,7.08,"hd:N, obs:Good",""
"484","IL2022-22472",2.47,134.88,35.92,1.46,169.78,58.65,94.62,7.09,"obs:Good",NA
