"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Yield_YT_Addie_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","TestWeight_YT_Addie_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","notes"
"203","IL2021-35538",102.86,61.19,132.02,164.58,37.95,NA,5.29,95.81,101.5,125.94,90.76,102.56,98.5,59.05,61.14,61.56,63.08,61.69,60.09,NA
"204","IL2021-3558",102.2,61.3,130.04,166.41,39.08,NA,1.52,96.21,100.85,122.24,88.95,102.78,99.01,59.01,61.19,61.52,63.42,61.78,60.45,"YTAddie23[mixed]; YTStp23[mixed,]; YTUrb23[mixed]"
"205","IL2021-3567",101.52,60.45,132.5,167.25,38.32,NA,2.56,91.75,100.31,121.61,86.81,103.56,100.62,58.54,60.46,60.27,62.73,60.78,59.33,"YTAddie23[mixed]"
"206","IL2021-35723",107.44,60.42,130.47,166.18,37.8,NA,2.44,95.29,105.95,133.49,94.61,109.45,110.48,57.13,60.54,60.44,62.91,61.02,59.46,"YTAddie23[square head]; YTStp23[, square head, tip awn]; YTUrb22[Npt]"
"207","IL2021-3613",100.68,61.7,131.98,163.8,38.42,NA,1.06,88.02,99.74,122.63,83.52,103.71,100.56,59.84,61.49,62.22,64.26,61.86,60.49,"YTStp23[mixed,]"
"208","IL2021-36257",100.11,61.25,131.31,164.54,38.16,NA,1.83,90.41,98.99,118.53,85.11,102.47,98.48,59.67,61.14,61.68,64.08,61.36,59.52,"YTUrb22[Npt]"
"209","IL2021-36376",105.15,61.51,132.77,168.01,38.62,NA,2.92,95.65,103.69,128.24,92.41,106.53,105.6,59.27,61.4,62.06,63.33,61.9,60.7,NA
"210","IL2021-36441",104.43,63.69,133.38,167.97,38.4,NA,2.54,93.76,103.24,128.7,87.41,106.98,106.4,62.74,63.02,64.91,66.55,63.4,62.73,NA
"211","IL2021-36445",106.91,62.22,133.65,169.1,37.89,NA,2.01,95.32,105.59,132.17,90.04,110.17,111.78,61.83,61.79,62.79,65.29,61.85,60.59,"YTUrb22[Npt]"
"212","IL2021-36450",104.9,63.09,132.38,167.2,38.6,NA,1.96,98.28,103.51,125.7,89.22,107.09,106.3,61.31,62.56,63.98,65.85,63.03,62.46,"YTUrb22[Lodg]"
"213","IL2021-36469",101.93,63.48,132.85,167.99,37.34,NA,2.29,96.87,100.51,120.67,89.69,102.23,98.07,62.36,62.79,64.38,67.12,63.11,62.42,NA
"214","IL2021-36613",105.05,61.44,130.75,167.17,37.34,NA,2.03,100.79,103.67,130.62,89.88,104.52,102.1,58.21,61.38,61.95,63.54,61.98,60.89,NA
"215","IL2021-36630",105.5,62.84,132.67,167.55,39.83,NA,2.19,95.34,104.14,129.72,90.44,107.55,107.41,61.92,62.37,63.85,65.44,62.68,61.55,NA
"216","IL2021-36639",107.62,62.82,131.5,166.9,38.28,NA,1.92,100.06,105.9,129.69,96.05,109.07,110,60.97,62.38,63.56,64.52,63.13,62.59,"YTUrb22[Erect, npt]; YTUrb23[thick, clean]"
"217","IL2021-36658",101.59,62.98,129.86,163.42,38.23,NA,1.52,93.84,100.4,124.6,87.61,101.78,97.18,61.37,62.49,63.95,65.31,62.91,62.46,"YTUrb22[Leaning, sea of heads]; YTUrb23[thick, early]"
"218","IL2021-36723",103.78,63.27,132.7,167.16,36.67,NA,2.21,95.95,102.51,125.02,86.7,106.21,105.24,61.62,62.74,64.41,65.81,63.22,62.55,NA
"219","IL2021-36725",105.4,63.55,131.08,164.8,37.69,NA,2.34,96.7,104.11,130,88.45,107.42,107.18,62.65,62.86,64.48,66.24,63.24,62.99,"YTUrb22[Leaning]"
"220","IL2021-36731",105.85,62.51,133.28,167.31,38.58,NA,1.84,95.33,104.38,129.09,93,107.82,107.7,61.93,62.07,63.32,65.34,62.21,61.02,NA
"221","IL2021-36747",105.28,62.32,130.16,167.92,36.91,NA,0.96,97.56,103.91,134.05,92.71,104.08,101,59.64,62.03,63.04,64.26,62.68,62.12,NA
"222","IL2021-36748",107.39,62.87,130.03,165.98,38.6,NA,1.95,99.92,105.75,133.72,97.29,106.91,105.62,61.14,62.38,63.57,65.37,63.01,62.28,"YTUrb22[Npt]"
"223","IL2021-36756",103.77,62.49,131,166.29,37.3,NA,0.64,97.7,102.36,125.61,89.98,104.33,101.84,61.41,62.1,63.3,64.55,62.5,61.54,NA
"224","IL2021-37508",105.66,61.98,130.54,166.12,39.71,NA,2,99.83,104.13,130.51,93.21,105.22,103.29,59.87,61.74,62.58,64.11,62.24,61.29,NA
"225","IL2021-37528",107.03,61.47,128.89,164.59,39.4,NA,1.57,98.53,105.61,132.06,90.67,109.08,110.21,57.48,61.45,61.98,62.83,62.28,61.7,NA
"226","IL2021-37674",104.62,61.35,130.87,167.82,39.75,NA,1.96,95.71,103.1,126.41,93.29,105.65,104.07,58.98,61.26,61.76,63.47,61.73,60.47,NA
"227","IL2021-37737",110.07,60.38,128.88,160.41,37.55,NA,2.13,105.21,108.12,138.98,102.22,107.64,107.48,56.45,60.57,60.45,62.09,61.22,60.06,"YTAddie23[septoria]; YTUrb22[Npt]"
"228","IL2021-38661",104.72,60.8,130.67,165.97,39.83,NA,3.03,101.21,103.11,126.01,92.37,104.32,102.09,57.94,60.84,60.94,62.56,61.45,60.16,"YTUrb22[Leaning]"
"229","IL2021-38672",105.57,61.44,130.88,164.54,38.42,NA,2.7,102.89,103.91,125.17,92.01,106.13,105.29,58.85,61.34,61.87,63.33,61.89,60.83,"YTStp23[bad plot,]"
"230","IL2021-38714",100.51,62.62,130.27,165.97,39.98,NA,1.52,95.57,99.32,119.76,84.94,101.2,96.47,60.07,62.3,63.58,64.66,62.97,62.17,"YTUrb22[Leaning]"
"231","IL2021-38956",98.21,60.5,129.1,161.7,37.84,NA,2.69,95.67,97.07,115.47,83.28,97.91,90.63,59.36,60.54,60.68,62.76,60.7,58.54,NA
"232","IL2021-38976",103.57,59.97,128.14,164.97,37.38,NA,1.49,100.49,102.08,126.45,91.16,102.17,98.2,57.01,60.21,59.92,61.71,60.71,58.97,"YTAddie23[plot dmg]; YTUrb22[Ve, npt]; YTUrb23[thick]"
"233","IL2021-3902",102.97,63.09,131.78,166.78,39.06,NA,1.09,92.87,101.61,124.06,90.61,104.51,102.01,61.7,62.56,64.05,65.67,63,62.31,"YTUrb23[has triticale]"
"234","IL2021-39143",102.63,61.12,130.34,167.47,37.8,NA,1.6,96.04,101.22,121.58,89.69,103.83,100.82,59.07,61.05,61.37,63.06,61.49,60.21,NA
"235","IL2021-39238",106.44,61.9,131.9,166.42,39.09,NA,1.79,99.13,104.88,132.42,95.47,105.97,104.15,58.81,61.72,62.55,64.14,62.32,61.45,"YTUrb22[Tall]"
"236","IL2021-39253",107.27,61.03,132.11,165.95,38.72,NA,2.45,99.16,105.54,131.51,97.7,107.35,107.04,59.74,60.98,61.5,63.39,61.16,59.2,"YTUrb22[Sea of heads]"
"237","IL2021-3936",104.74,60.61,131.99,166.75,38.53,NA,1.19,97.25,103.25,127.78,92.59,105.13,103.14,57.81,60.7,60.75,62.22,61.24,59.93,"YTStp23[big heads, thick, big flag leaves,]"
"238","IL2021-39615",103.03,62.1,130.95,167.45,39.04,NA,1.95,94.43,101.86,124.97,86.32,105.26,103.14,60.69,61.82,62.76,63.96,62.31,61.19,"YTUrb22[Leaning]"
"239","IL2021-39636",101.18,62.57,131.93,165.16,37.85,NA,2.75,91.24,100.1,122.01,84.85,103.52,100.33,60.5,62.21,63.41,64.48,62.79,62.17,NA
"240","IL2021-39812",104.01,63.42,130.82,162.92,37.58,NA,3.2,99.14,102.52,126.81,90.14,103.65,101.45,61.73,62.84,64.52,65.99,63.36,62.87,"YTUrb23[super thick]"
"241","IL2021-39857",102.57,63.49,132.23,164.67,40.5,NA,2.52,94.94,101.25,124.88,88.62,103.05,100.08,63.07,62.81,64.47,66.2,63.11,62.56,"YTStp23[, tall]; YTUrb22[Leaning]"
"242","IL2021-39924",100.48,62.27,130.54,164.7,39.3,NA,1.81,94.31,99.26,121.49,87.59,100.16,94.35,60.79,61.92,62.98,65.05,62.26,61.06,"YTUrb23[mixed]"
"243","IL2021-39943",101.69,62.97,132.13,166.69,38.37,NA,3.24,95.43,100.27,122.01,90.31,101.37,96.89,61.63,62.47,63.97,65.5,62.73,62.23,"YTUrb22[Leaning]"
"244","IL2021-39959",105.27,62.44,130.58,165.61,39.76,NA,2.09,100.9,101.06,131.66,90.49,105.31,103.66,60.58,62.43,63.09,64.64,62.52,61.68,NA
"245","IL2021-40138",102.32,62.82,131.03,167.08,37.89,NA,1.91,89.41,101.26,122.65,85.31,106.54,105.25,62.53,62.3,63.64,65.2,62.6,61.57,"YTUrb23[erect, biomass]"
"246","IL2021-40301",101.49,62.67,132.48,164.11,37.25,NA,1.75,94.55,100.44,124.39,82.88,102.78,99.39,61.44,62.17,63.29,65.64,62.51,61.7,NA
"247","IL2021-40317",104.42,62.41,132.53,165.63,36.55,NA,1.79,95.45,103,126.59,91.02,105.92,104.64,60.4,62.04,63.08,64.99,62.54,61.66,NA
"248","IL2021-40608",103.09,63.08,131.56,167.6,37.83,NA,2.12,98.39,101.84,121.8,84.68,105.64,104.1,62.28,62.54,64.09,65.63,62.86,61.99,"YTUrb22[Lodg]"
"249","IL2021-40641",104.14,62.25,132.52,165.7,37.68,NA,0.39,97.13,102.68,125.44,90.79,105.15,103.34,60.16,61.91,62.81,64.37,62.33,62.02,"YTStp23[npt,]; YTUrb22[Npt, late]"
"250","IL2021-40648",106.43,61.91,132.33,165.7,35.88,NA,1.72,99.58,105.02,132.27,90.6,107.29,107.02,59.77,61.69,62.59,64.1,62.08,61.12,"YTUrb22[Npt]; YTUrb23[thick]"
"251","IL2021-40751",104.04,62.97,130.6,165.07,38.7,NA,3.73,99.5,102.08,126.13,90.34,104.2,101.68,62.01,62.7,63.7,65.52,62.77,62.04,"YTNeo22[leaning]; YTUrb23[mixed]"
"252","IL2021-40753",101.11,62.35,130.74,165.25,37.98,NA,2.06,96.23,99.94,123.5,84.86,100.96,96.33,60.42,62,63.11,65.14,62.34,61.38,NA
"253","IL2021-40765",100.27,62.55,129.23,164.23,38.07,NA,2.21,93.29,95.18,120.42,89.88,100.86,95.83,60.81,62.89,63.16,65.06,62.48,61.46,"YTNeo22[ve, leaning]; YTUrb23[seg]"
"254","IL2021-40807",98.63,62.19,129.77,164.32,39.52,NA,3.05,93.88,97.39,116.09,86.18,98.29,91.42,60.61,61.86,62.64,64.49,62.57,61.16,"YTUrb22[ve, looks weak]"
"255","IL2021-40847",104.19,60.43,132.11,164.75,38.58,NA,7.74,98.38,103.83,121.68,91.86,105.39,103.83,59.57,60.92,60.23,63.24,60.4,58.15,"YTNeo22[leaning]"
"256","IL2021-40862",98.05,62.72,132.27,167.46,37.82,NA,1.84,88,96.93,111.58,84.1,101.28,96.59,61.56,62.25,63.51,65.35,62.57,61.79,NA
"257","IL2021-40869",103.54,62.8,131.66,167.72,38.76,NA,1.66,99.77,99.71,123.77,89.98,104.45,102.36,61.64,62.22,63.75,65.28,62.73,61.81,NA
"258","IL2021-41319",106.71,62.42,132.35,168.07,39.23,NA,3.05,99.62,102.26,132.53,96.25,106.93,106.44,60.13,61.76,63.26,64.44,62.73,62.15,"YTNeo22[sept]"
"259","IL2021-41344",98.52,62.08,130.69,166.75,39.61,NA,2.87,95.99,96.24,114.46,82.37,99.5,93.66,60.93,62.48,62.71,63.64,62.13,60.9,NA
"260","IL2021-41350",102.3,61.28,131.76,166.22,38.36,NA,1.2,96.02,101.11,123.71,85.03,103.72,101.04,59.59,61.21,61.87,63.49,61.54,59.73,"YTUrb22[Tall]"
"261","IL2021-41355",102.37,61.67,130.03,165.27,38.84,NA,1.85,93.25,101.09,123.69,88.85,103.69,100.59,60.06,61.48,62.23,63.98,61.83,60.44,NA
"262","IL2021-41430",98.31,61.7,131.09,165.71,37.94,NA,0.88,94.26,98.03,114.58,80.45,99.62,93.7,58.94,62.02,62.33,64.13,62,60.55,"YTNeo22[sept]"
"263","IL2021-41721",109.77,61.42,129.93,165.59,37.82,NA,1.66,104.23,107.91,137.14,100.6,108.59,108.81,58.54,61.35,61.87,63.29,62,60.85,"YTUrb22[Npt]"
"264","IL2021-41738",104.36,61.85,132.27,164.91,36.51,NA,2.06,92.62,102.9,125.7,93.83,106.33,104.71,60.11,61.6,62.39,64.35,61.99,60.71,"YTUrb22[Npt]"
"265","IL2021-42115",101.75,62.04,130.99,163.26,37,NA,2.86,94.27,100.45,122.72,88.7,102.27,98.2,59.98,61.79,62.76,64.29,62.2,61.23,NA
"266","IL2021-42343",101.97,60.35,130.96,166.88,36.59,NA,3.1,91.64,100.8,122.09,86.14,104.74,102.57,57.95,60.49,60.54,62.2,60.79,59.19,"YTStp23[mixed, ugly,]; YTUrb22[Ve, mix]; YTUrb23[mixed]"
"267","IL2021-42522",105.97,62.53,131.69,165.55,37.27,NA,1.02,100.4,104.5,129.91,89.83,106.88,106.85,59.64,62.21,63.36,64.54,62.85,62.5,"YTUrb23[seg]"
"268","IL2021-42959",102.93,62.15,132.82,166.93,37.33,NA,1.47,99.13,101.29,120.14,92.37,102.97,99.79,60.33,61.8,62.66,64.92,62.14,61.33,NA
"269","IL2021-43177",105.16,61.82,131.36,165.99,39.34,NA,2.17,98.72,103.7,125.71,90.71,107.06,106.22,58.86,61.64,62.27,64.07,62.37,61.33,"YTUrb23[dark green]"
"270","IL2021-43205",107.16,59.81,131.68,167.26,37.03,NA,2.22,100.84,105.58,130.29,92.53,108.61,109.42,57.02,60.05,59.61,61.6,60.46,58.8,"YTUrb22[Npt, clean, lot of heads]; YTUrb23[thick]"
"271","IL2021-43316",104.15,60.32,131.27,166.5,38.4,NA,3.73,96.41,103.78,125.7,90.62,105.08,103.05,57.5,60.88,60.46,62.42,60.85,58.87,"YTStp23[glume blotch,]"
"272","IL2021-43330",105.65,61,131.59,167.54,40.08,NA,2.48,101.89,104,127.95,93.93,105.12,103.28,59.8,60.94,61.45,63.9,61.05,58.79,NA
"273","IL2021-43359",103.6,62,132.27,164.98,39.19,NA,2.12,92.41,102.19,125.84,92.54,104.88,102.58,60.67,61.7,62.54,64.36,62.05,60.91,NA
"274","IL2021-43415",103.5,61.16,132.9,167.51,39.48,NA,2.37,101.02,102.12,122.8,86.95,104.56,102.29,59.15,61.09,61.53,63.03,61.4,60.34,NA
"275","IL2021-43633",106.71,62.34,130.66,164.1,38.17,NA,2.55,97.28,105.24,129.33,91.55,109.53,110.72,59.62,62.03,63.17,64.93,62.34,62.01,"YTUrb22[Leaning]"
"276","IL2021-43764",106.01,61.26,132.95,167.65,38.73,NA,2.31,96.4,104.62,128.13,89.28,109.28,110.59,58.99,61.16,61.69,63.93,61.35,60.18,NA
"277","IL2021-43865",105.02,62.47,131.92,167.3,38.59,NA,1.45,98.66,104.76,124.88,90.64,106.49,105.72,60.54,62.32,63.32,64.71,62.59,61.6,NA
