"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Yield_YT_Addie_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","TestWeight_YT_Addie_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","notes"
"288","IL2021-43938",104.98,62.08,130.95,166.48,39.09,NA,1.5,100.34,104.11,128.73,89.14,105.22,103.41,59.91,61.57,62.81,64.21,62.37,61.48,"YTNeo22[ve, clean]; YTStp23[bad plot,]"
"289","IL2021-43941",104.75,62.18,131.79,166.12,38.73,NA,2.24,101.46,103.26,124.05,89.67,106.07,104.64,59.92,61.91,62.91,64.35,62.49,61.42,"YTAddie23[uniform, big heads]; YTStp23[erect,]"
"290","IL2021-43945",104.55,61.25,131.63,164.11,39.2,NA,2.23,96.44,103.19,130.63,91.84,104.26,101.43,58.89,61.2,61.66,62.75,61.75,60.64,NA
"291","IL2021-43956",104.89,62.83,130.77,165.12,40.56,NA,2.18,99.52,106.41,129.14,90.37,104,100.98,60.8,62.85,63.58,64.78,62.93,62.45,"YTAddie23[thick]"
"292","IL2021-43960",102.46,61.53,132,166.48,37.9,NA,1.91,95.62,99.53,122.67,89.45,103.73,100.9,58.96,61.27,62.16,63.23,62.03,60.94,"YTAddie23[erect]; YTNeo22[thin, clean, ve]"
"293","IL2021-43962",104.42,61.58,132.72,164.93,37.08,NA,2.33,97.05,102.95,125.46,90.47,105.87,104.8,58.96,61.46,62.17,63.63,61.88,60.98,NA
"294","IL2021-43963",105.55,61.2,131.92,163.91,37.68,NA,2.04,97.8,104.06,127.95,91.83,107.02,106.48,58.49,61.15,61.54,62.93,61.68,60.75,NA
"295","IL2021-43966",99.7,62.48,129.9,163.31,37.99,NA,1.93,88.86,96.3,119.61,87.54,101.64,97.04,61.05,62.71,63.17,64.43,62.47,61.47,"YTAddie23[tall]; YTNeo22[ve, clean, npt, bright]"
"296","IL2021-43970",102.51,61.6,131.63,165.92,40.09,NA,2.06,96.94,101.3,123.79,86.65,103.58,99.99,59.24,61.48,62.14,63.36,62.07,60.85,"YTUrb22[Lodging]"
"297","IL2021-43972",107.49,61.44,131.53,163.66,39.14,NA,1.81,100.64,102.9,134.59,97.29,107.36,107.16,57.48,61.14,62.18,63.27,62.23,61.29,"YTAddie23[sacb]; YTNeo22[npt, thin, septoria]; YTUrb23[thick, bright]"
"298","IL2021-43973",103.98,63.68,130.12,164.79,38.94,NA,2.17,100.49,102.45,126.2,91.32,103.11,100.07,63.34,62.98,64.6,65.34,63.74,63.12,"YTUrb22[Leaning]"
"299","IL2021-44005",107.88,61.75,131.49,165.05,39.51,NA,1.8,99.52,109.03,133.47,94.52,108.09,108.16,59.89,61.28,62.33,63.59,62.07,61.1,"YTNeo22[clean, sea of heads]"
"300","IL2021-44007",101.72,63.07,130.64,166.98,38.49,NA,1.39,97.47,98.78,123.6,87.33,101.78,97.44,61.45,62.98,63.97,65.08,63.06,62.51,"YTNeo22[septoria, leaf rust]; YTStp23[erect, uniform,]"
"301","IL2021-44011",103.47,62.05,131.43,165.44,38.85,NA,1.06,96.29,102.28,129.1,87.07,103.8,100.98,59.94,61.81,62.69,63.66,62.47,61.5,"YTUrb22[Disease]; YTUrb23[thick]"
"302","IL2021-44026",103.76,62.84,130.86,167.42,37.67,NA,1.41,95.31,102.57,129.94,88.68,104.18,101.01,60.54,62.42,63.68,64.71,63.17,62.65,"YTUrb22[Tall]"
"303","IL2021-44031",102.54,62.63,130.55,163.87,38.76,NA,1.15,93.75,101.35,125.62,87.58,103.68,100.47,60.9,62.26,63.5,64.69,62.89,61.8,"YTUrb22[Npt]; YTUrb23[bpt, bright]"
"304","IL2021-44064",103.31,61.58,129.97,165.55,38.72,NA,3.49,93.21,101.97,125.19,90.09,104.88,102.88,59.2,61.42,62.08,63.9,61.78,60.85,"YTAddie23[glume blotch]"
"305","IL2021-44235",103.46,60.6,133.36,169.86,41.21,NA,1.95,96.94,101.82,124.42,95.78,102.45,98.35,59.06,60.65,60.84,62.8,60.88,58.87,"YTStp23[big heads, tall,]; YTStp23[, tall]"
"306","IL2021-44623",100.17,61.01,130.97,167.39,39.04,NA,2.08,91.89,98.88,113.97,85.7,103.41,100.61,60.47,60.88,61.23,63.15,60.93,59.43,NA
"307","IL2021-44705",97.52,60.65,128.96,166.49,41.03,NA,2.14,88.43,96.53,113.62,82.22,99.83,93.91,58.68,60.72,60.91,62.5,61.08,59.35,NA
"308","IL2021-45561",105.56,59.91,131.27,165.58,38,NA,1.71,96.63,104.1,127.66,90.35,107.86,108.44,57.22,60.15,59.81,61.23,60.6,59.09,"YTAddie23[plot dmg]; YTStp23[bad plot,]"
"309","IL2021-45638",102.84,62.59,131.36,166.12,36.47,NA,1.02,93.24,101.41,120.71,90.33,105.29,103.67,60.63,62.22,63.43,65.11,62.84,61.6,"YTAddie23[septoria]"
"310","IL2021-45701",103.06,60.81,132.24,165.99,40.64,NA,3.55,95.72,101.62,122.93,89.49,104.27,102.43,58.93,60.81,61.13,63.05,60.94,59.57,"YTUrb22[Lodging]"
"311","IL2021-45957",106.54,61.83,133.16,168.37,38.85,NA,2.25,95.77,104.93,127.07,93.28,109.7,111.63,60.63,61.52,62.26,64.68,61.65,60.6,"YTUrb22[Tall]"
"312","IL2021-46002",103,60.6,131.61,166.2,41.3,NA,1.86,93.17,101.51,121.78,91.8,104.79,102.86,57.77,60.67,60.76,63.33,61,59.32,"YTUrb22[Lodging]"
"313","IL2021-46013",103.55,63.21,132.67,166.16,39.16,NA,3.27,95.12,102.09,125.26,94.13,103.51,100.2,61.35,60.75,64.08,65.41,63.53,64.24,"YTAddie23[sprawling]; YTNeo22[scab, thick]; YTStp23[, thick]; YTStp23[, thick, tip awned]"
"314","IL2021-46033",104.07,62.18,132.27,169.6,39.03,NA,1.06,91.41,105.08,128.08,85.85,107.02,106.29,62.72,61.21,62.96,64.52,61.93,60.45,"YTNeo22[scab]"
"315","IL2021-46035",106.06,61.2,133.15,167.89,40.91,NA,2.7,98.08,104.3,125.12,96.03,107.68,107.82,60.68,61.05,61.51,63.55,61.33,59.15,"YTUrb22[Lodging]"
"316","IL2021-46132",109.84,60.29,129.58,166.79,38.86,NA,4.89,107.83,107.97,135.65,97.91,108.82,109.55,57.32,60.46,60.28,61.56,61.07,59.78,"YTUrb22[Lodging]"
"317","IL2021-46166",103.89,61.77,131.95,167.86,38.84,NA,1.29,98.11,102.41,123.73,89.74,105.11,103.6,59.52,61.55,62.14,64.26,62.16,60.86,NA
"318","IL2021-46411",100.42,61.45,134.28,168.43,38.85,NA,1.89,85.56,99.29,119.82,88.07,103.47,100.06,60.81,61.29,62,63.12,61.55,59.93,NA
"319","IL2021-46428",103.38,62.06,132.56,166.78,38.48,NA,4.79,94.94,102.02,124.44,88.14,105.17,104,60.56,61.78,62.77,64.33,62.13,60.94,"YTAddie23[npt]; YTUrb22[Npt]"
"320","IL2021-46822",106.98,61.08,130.77,166.29,36.98,NA,2.14,97.49,105.27,131.8,98.06,107.03,106.47,57.98,61.09,61.43,62.79,61.73,60.56,NA
"321","IL2021-46842",107.1,60.78,133.1,167.66,36.61,NA,1.67,97.3,105.73,131.83,91.5,109.76,110.5,57.64,60.78,60.91,64.03,61.04,59.7,"YTUrb22[Lodging]"
"322","IL2021-46857",101.32,61.31,132.81,166.22,40.64,NA,8,95.38,99.91,115.77,87.84,103.65,100.69,58.52,61.23,61.74,63.68,61.63,60.55,"YTUrb22[Lodg]"
"323","IL2021-46908",102.99,61.21,131.28,165.37,40.32,NA,5.93,98.72,101.8,124.22,83.46,104.68,102.89,58.94,61.16,61.55,62.56,61.73,60.7,"YTAddie23[tall]"
"324","IL2021-47142",105.54,62.85,132.31,165.64,39.19,NA,2.75,97.31,106.11,128.06,92.38,106.25,105.02,59.05,62.23,63.89,66.33,63.16,62.52,NA
"325","IL2021-4811",102.76,60.27,129.98,165.27,37.65,NA,1.88,98.02,101.41,125.19,88.98,102.37,98.33,57.99,60.42,60.37,62.36,60.76,58.84,NA
"326","IL2021-4856",106.04,58.88,129.84,164.04,38.88,NA,2.18,99.07,104.69,134.9,92.35,105.27,102.7,55.01,59.4,58.56,60.55,59.8,57.89,"YTAddie23[long tip awn]; YTUrb22[Leaning]"
"327","IL2021-5065",105.62,61.76,129.76,163.37,39.73,NA,2.13,104.02,101.97,128.04,95.87,104.26,101.89,59.06,61.27,62.43,63.57,62.27,61.45,"YTNeo22[septoria]"
"328","IL2021-5364",104.09,62.76,131.21,164.22,40.14,NA,2.3,100.02,102.66,124.39,88.99,105.05,103.06,61.66,62.31,63.67,64.93,62.71,61.86,NA
"329","IL2021-5861",103.25,61.28,129.34,165.64,36.13,NA,1.37,101.21,101.81,125.63,88.79,102.15,98.54,58.59,61.21,61.58,63.41,61.9,60.39,"YTAddie23[septoria]; YTStp23[, thin]; YTStp23[erect, npt,]; YTUrb22[Npt, some leaf rust]"
"330","IL2021-6838",103.91,61.53,131.06,164.05,40.09,NA,2.99,103.75,102.33,121.99,89.49,103.94,101.52,58.9,61.43,62.01,62.96,62.06,61.24,NA
"331","IL2021-7231",106.92,60.26,130.18,165.33,39.08,NA,2.79,105.84,105.06,130.57,97.83,104.51,102.2,56.73,60.46,60.39,62.28,60.88,59.57,"YTAddie23[thick]; YTAddie23[scab]; YTUrb22[Leaning]"
"332","IL2021-7544",104.93,61.62,131.31,165.5,37.68,NA,2.72,102.4,103.52,129.91,89.48,104.06,101.37,59.46,61.48,62.19,63.56,61.95,60.76,NA
"333","IL2021-7550",106.57,60.46,130.87,167.13,38.43,NA,3.16,101.61,104.89,133.01,95.93,104.79,103.01,57.9,60.56,60.57,62.5,60.89,59.49,"YTUrb22[Leaning]"
"334","IL2021-827",103.59,61.87,130.74,167.38,37.99,NA,2.01,99.02,101.98,124.46,93.16,102.71,99.35,59.92,61.64,62.35,63.85,62.24,61.1,"YTUrb23[seg]"
"335","IL2021-8749",105.59,60.2,129.65,163.45,36.99,NA,2.33,97.83,102.58,126.27,94.24,107.3,107.22,57.2,60.52,60.09,61.88,60.88,59.46,"YTAddie23[mixed]; YTNeo22[septoria]; YTStp23[mixed,]; YTUrb23[thick]"
"336","IL2021-9529",105.15,61.61,131.6,166.14,37.73,NA,2.72,95.63,103.67,127.32,93.28,106.7,105.52,59.44,61.45,62,63.52,62.1,60.78,"YTStp23[, thick, big heads]"
"337","Kaskaskia",100.77,62.68,134.58,166.99,43.37,2.84,1.9,91.21,97.31,122.05,84.79,103.27,100.29,62.45,61.5,63.72,65.18,62.43,61.56,NA
"338","Pio 25R74",106.58,60.9,133.3,169.19,35.11,NA,1.42,100.1,106.45,132.12,93.26,105.9,105.33,60.17,59.58,61.19,62.95,61.26,59.76,NA
