germplasmName,observationUnitName,notes
IL2022-7736,SI_Urb_23-1081,"hd:E, segregating, obs:Fair"
IL2022-3705,SI_Urb_23-1082,"hd:E, obs:Normal"
IL2022-19769,SI_Urb_23-1083,"hd:N, obs:Normal"
IL2022F4S-21102,SI_Urb_23-1084,"hd:N, obs:Fair"
IL2022F4S-20403,SI_Urb_23-1085,"hd:N, obs:Normal"
IL2022F4S-4401,SI_Urb_23-1086,"hd:N, obs:Fair"
IL2022F4S-13402,SI_Urb_23-1087,"hd:N, obs:Good"
IL2022F4S-15804,SI_Urb_23-1088,"hd:E, obs:Good"
IL2022F4S-11401,SI_Urb_23-1089,"hd:N, obs:Normal"
IL2022-11469,SI_Urb_23-109,"hd:E, obs:Fair"
IL2022F4S-19503,SI_Urb_23-1090,"hd:N, obs:Fair"
IL2022F4S-14303,SI_Urb_23-1091,"hd:N, obs:Normal"
IL2022F4S-2902,SI_Urb_23-1092,"hd:N, obs:Fair"
IL2022F4S-17002,SI_Urb_23-1093,"hd:N, obs:Excellent "
IL2022F4S-8601,SI_Urb_23-1094,"hd:N, obs:Fair"
IL2022F4S-8801,SI_Urb_23-1095,"hd:E, obs:Poor"
IL2022F4S-13203,SI_Urb_23-1096,"hd:E, obs:Fair"
IL2022F3S-22104,SI_Urb_23-1097,"hd:N, obs:Normal"
IL2022F4S-21601,SI_Urb_23-1098,"hd:L, obs:Normal"
IL2022F4S-5403,SI_Urb_23-1099,"hd:N, obs:Fair"
IL2022-526,SI_Urb_23-11,"very short, obs:Fair"
IL2022-21310,SI_Urb_23-110,obs:Fair
IL2022F4S-9401,SI_Urb_23-1100,"hd:N, obs:Poor"
IL2022F4S-4505,SI_Urb_23-1101,"hd:E, obs:Normal"
IL2022F4S-14602,SI_Urb_23-1102,"hd:L, obs:Poor"
IL2022F4S-12104,SI_Urb_23-1103,"hd:E, obs:Poor"
IL2022F4S-9704,SI_Urb_23-1104,"hd:E, obs:Fair"
IL2022F3S-22101,SI_Urb_23-1105,"hd:N, obs:Good"
IL2022F4S-12502,SI_Urb_23-1106,"hd:N, obs:Normal"
IL2022F4S-12701,SI_Urb_23-1107,"hd:N, obs:Good"
IL2022F4S-11701,SI_Urb_23-1108,"hd:N, obs:Normal"
IL2022F4S-6802,SI_Urb_23-1109,"hd:L, obs:Good"
IL2022-22335,SI_Urb_23-111,obs:Fair
IL2022F4S-21003,SI_Urb_23-1110,"hd:N, obs:Good"
IL2022F4S-10905,SI_Urb_23-1111,"hd:N, obs:Good"
IL2022F4S-10002,SI_Urb_23-1112,"hd:E, obs:Fair"
IL2022F4S-5004,SI_Urb_23-1113,"hd:E, obs:Normal"
IL2022F3S-22904,SI_Urb_23-1114,"hd:N, obs:Normal"
IL2022F4S-17302,SI_Urb_23-1115,"hd:N, obs:Normal"
IL2022F4S-15601,SI_Urb_23-1116,"hd:L, obs:Fair"
IL2022F4S-6303,SI_Urb_23-1117,"hd:N, obs:Good"
IL2022F4S-13901,SI_Urb_23-1118,"hd:L, low vigor, obs:Poor"
IL2022F4S-13303,SI_Urb_23-1119,"hd:N, obs:Excellent "
IL2022-6278,SI_Urb_23-112,obs:Poor
IL2022F4S-9103,SI_Urb_23-1120,"hd:E, obs:Good"
IL2022F4S-8302,SI_Urb_23-1121,"hd:E, obs:Normal"
IL2022F4S-9404,SI_Urb_23-1122,"hd:N, obs:Fair"
IL2022F4S-15306,SI_Urb_23-1123,"hd:N, obs:Poor"
IL2022F4S-19402,SI_Urb_23-1124,"hd:N, obs:Normal"
