"","germplasmName","predicted.value","std.error","status"
"1","17-2920",166.858852221455,1.32077245039371,"Estimable"
"2","17-4326",169.288756501771,1.19863292024966,"Estimable"
"3","17-5643",167.044590528134,1.24338206202256,"Estimable"
"4","17-6412",167.678855559072,1.18600190326939,"Estimable"
"5","17-6863",164.665867053333,0.898992534664341,"Estimable"
"6","17-7136",164.857005623334,1.24973177438453,"Estimable"
"7","17-7976",164.241057229515,1.4376432758207,"Estimable"
"8","17-7978",164.694270582111,1.38781099018674,"Estimable"
"9","17-8004",164.143697054453,1.40317340963267,"Estimable"
"10","17-8036",169.705130529712,0.980477430257875,"Estimable"
"11","17-8143",168.328610900838,1.19922136042223,"Estimable"
"12","17-8152",167.685755552928,1.19932943347147,"Estimable"
"13","17-8620",166.16300396972,1.23240873500453,"Estimable"
"14","17-8626",166.242164830662,1.28966163380587,"Estimable"
"15","17-8628",164.601591694904,1.25170421839575,"Estimable"
"16","17-8636",163.175298548675,1.25932805998073,"Estimable"
"17","17-8643",165.808701872323,1.28700925027407,"Estimable"
"18","17-8738",165.767678118196,1.27319637887253,"Estimable"
"19","17-8749",165.92902130157,1.24543382889169,"Estimable"
"20","17-8824",167.623068649156,1.15448567226022,"Estimable"
"21","17-8831",165.833672027632,1.24402470469503,"Estimable"
"22","17-8832",166.141149403813,1.15304954121261,"Estimable"
"23","17-8930",165.13962938416,0.994918708232107,"Estimable"
"24","17-8948",165.298711515262,0.978211811598666,"Estimable"
"25","17-9161",168.089637788662,1.29975846025225,"Estimable"
"26","17-9211",168.201531344026,1.08174963990907,"Estimable"
"27","17-9339",165.990646060145,1.24607376908649,"Estimable"
"28","17-9663",164.184855766768,1.21964771220047,"Estimable"
"29","17-9832",165.008702115439,1.34404642055582,"Estimable"
"30","17-9839",168.346538449915,1.36564500871325,"Estimable"
"31","17-9968",166.156184021085,1.00284459796481,"Estimable"
"32","17-10948",164.371077415489,1.26590502861788,"Estimable"
"33","17-10964",166.421731712547,1.3264644451112,"Estimable"
"34","17-12172",162.388143542929,1.26106240469753,"Estimable"
"35","17-12564",166.433468596417,1.06474999782252,"Estimable"
"36","17-12623",165.954399725093,1.04524317360253,"Estimable"
"37","17-12954",166.256935884809,1.12997106713304,"Estimable"
"38","17-13024",167.215123301631,1.12377261944705,"Estimable"
"39","17-13938",166.747048354723,1.29983827705216,"Estimable"
"40","17-15352",164.69908255235,1.33957529290266,"Estimable"
"41","17-15667",167.918112912185,1.33632996080752,"Estimable"
"42","17-17526",167.970566748112,1.09484686616357,"Estimable"
"43","17-17739",167.471970460417,1.12146554613561,"Estimable"
"44","17-18159",166.0524794423,1.25149011359676,"Estimable"
"45","17-18176",165.606828625288,1.19468964435838,"Estimable"
"46","17-18320",166.679147983096,1.02160736283074,"Estimable"
"47","17-18529",167.788606581597,1.14409850936556,"Estimable"
"48","17-18534",167.195952710176,1.18702149062783,"Estimable"
"49","17-19355",167.691436590124,1.25214072592063,"Estimable"
"50","17-19939",165.604709302314,1.24064440800729,"Estimable"
"51","17-20035",166.610391518672,1.31132719579685,"Estimable"
"52","17-20346",166.181246140601,1.12195017858266,"Estimable"
"53","17-20426",165.446482410903,1.15566338323167,"Estimable"
"54","17-20472",165.478477181344,1.21267297108141,"Estimable"
"55","17-21447",167.135762168633,1.10432351918372,"Estimable"
"56","17-21812",165.810006810101,1.38354019895439,"Estimable"
"57","17-22168",164.387325469818,1.36988768077906,"Estimable"
"58","17-23868",164.845455075184,1.11417606677873,"Estimable"
"59","17-23874",167.138543823924,1.21207149000078,"Estimable"
"60","17-23902",168.41177877116,1.20538760208802,"Estimable"
"61","17-23904",167.293691816184,1.23383123794654,"Estimable"
"62","17-23912",168.646915974609,1.0990463755419,"Estimable"
"63","17-24508",164.933458203054,0.894765758008771,"Estimable"
"64","17-24663",165.931967410368,1.49221645160011,"Estimable"
"65","17-24977",166.849039978853,1.33693067148912,"Estimable"
"66","17-25205",166.015227754587,1.02753522986897,"Estimable"
"67","17-25738",167.937068952455,1.23310367986562,"Estimable"
"68","17-25927",168.895625431975,0.983559245398675,"Estimable"
"69","17-25930",166.717249281675,1.30992909921543,"Estimable"
"70","17-26647",166.339715344064,1.16812494537092,"Estimable"
"71","17-26648",165.640547001446,1.13319990563714,"Estimable"
"72","17-27510",165.615049013008,1.4249298065535,"Estimable"
"73","17-27559",167.172765021968,1.5064864666263,"Estimable"
"74","17-27649",165.428525990234,1.20013153210488,"Estimable"
"75","17-27660",166.932460817153,1.23061008854796,"Estimable"
"76","17-27914",166.031614783666,1.07876034375178,"Estimable"
"77","17-28445",164.222366538452,1.23973121879601,"Estimable"
"78","17-29513",165.674860497203,1.04332223113215,"Estimable"
"79","17-29544",164.459896911145,1.00667114805743,"Estimable"
"80","17-30178",165.794425963932,1.24181624231693,"Estimable"
