"","germplasmName","predicted.value","std.error","status"
"1","17-2920",37.1227087976491,0.770107833585108,"Estimable"
"2","17-4326",35.6016510595063,0.756627156183565,"Estimable"
"3","17-5643",37.2496688536463,0.758397873428267,"Estimable"
"4","17-6412",38.5062775054234,0.750755326169876,"Estimable"
"5","17-6863",38.0744575220348,0.721950899849325,"Estimable"
"6","17-7136",35.6190821048449,0.75559478064204,"Estimable"
"7","17-7976",34.1077816571396,0.761081155713213,"Estimable"
"8","17-7978",39.9853953428656,0.753210731546462,"Estimable"
"9","17-8004",35.8462903291271,0.754448075280724,"Estimable"
"10","17-8036",37.4972826289685,0.737023124691395,"Estimable"
"11","17-8143",37.5646793749382,0.768105095329858,"Estimable"
"12","17-8152",37.568694910044,0.767890925854111,"Estimable"
"13","17-8620",37.3463294242149,0.69072739650102,"Estimable"
"14","17-8626",35.6179977390231,0.691982455181522,"Estimable"
"15","17-8628",38.5428672475525,0.69033408147105,"Estimable"
"16","17-8636",35.6080515442221,0.690828679636982,"Estimable"
"17","17-8643",35.9379168196731,0.7537123350317,"Estimable"
"18","17-8738",35.6950617947644,0.753324502491649,"Estimable"
"19","17-8749",37.932925940453,0.689076013777888,"Estimable"
"20","17-8824",38.2582224023936,0.684827244422567,"Estimable"
"21","17-8831",36.9241885502795,0.686819331961715,"Estimable"
"22","17-8832",36.5855709103397,0.740039262433803,"Estimable"
"23","17-8930",35.0795406084005,0.686909961235292,"Estimable"
"24","17-8948",36.4681021776518,0.722291287918805,"Estimable"
"25","17-9161",36.162871492125,0.76433201369663,"Estimable"
"26","17-9211",36.9769142787484,0.749650071406162,"Estimable"
"27","17-9339",38.5993806804707,0.691358190124381,"Estimable"
"28","17-9663",37.5349541149996,0.764686119156381,"Estimable"
"29","17-9832",37.6167543773638,0.762665542663063,"Estimable"
"30","17-9839",36.5776348845148,0.764618150894638,"Estimable"
"31","17-9968",37.9430804206031,0.744090196654093,"Estimable"
"32","17-10948",36.1653542992269,0.745960448152293,"Estimable"
"33","17-10964",35.2102342060821,0.754128371949777,"Estimable"
"34","17-12172",36.462040517851,0.76270607702169,"Estimable"
"35","17-12564",37.324543595546,0.73606547969951,"Estimable"
"36","17-12623",38.9637357088925,0.732153225363734,"Estimable"
"37","17-12954",37.5180972525436,0.740715030154499,"Estimable"
"38","17-13024",37.7817132730326,0.743582310542819,"Estimable"
"39","17-13938",39.0676927404501,0.767594566854099,"Estimable"
"40","17-15352",36.2250203833347,0.75614415532279,"Estimable"
"41","17-15667",38.1038886003594,0.764289259063936,"Estimable"
"42","17-17526",36.0663222670986,0.743604604400844,"Estimable"
"43","17-17739",40.4518337068404,0.684912434123424,"Estimable"
"44","17-18159",34.4544230512614,0.75126087630135,"Estimable"
"45","17-18176",36.2833275761657,0.756319107552787,"Estimable"
"46","17-18320",34.77606289493,0.734443155225854,"Estimable"
"47","17-18529",36.3307589976931,0.751013551675469,"Estimable"
"48","17-18534",36.6812460297649,0.68760893281253,"Estimable"
"49","17-19355",37.9033074421392,0.687040149810376,"Estimable"
"50","17-19939",35.3718858701412,0.752321721320056,"Estimable"
"51","17-20035",33.692792525633,0.756472605465701,"Estimable"
"52","17-20346",34.3637839557803,0.747886498770997,"Estimable"
"53","17-20426",34.6786591749723,0.745892833491797,"Estimable"
"54","17-20472",33.910668377164,0.753543830435166,"Estimable"
"55","17-21447",36.8594257712395,0.758884007523423,"Estimable"
"56","17-21812",35.6952258137085,0.774860007639394,"Estimable"
"57","17-22168",35.7814844890605,0.751799574895857,"Estimable"
"58","17-23868",36.0590176057642,0.743568331538551,"Estimable"
"59","17-23874",38.520181364673,0.690265195625415,"Estimable"
"60","17-23902",39.5822644280792,0.690158959502809,"Estimable"
"61","17-23904",37.477805321131,0.690768887331035,"Estimable"
"62","17-23912",40.2306886469562,0.74490933726703,"Estimable"
"63","17-24508",38.1291147511008,0.676590815145019,"Estimable"
"64","17-24663",37.2421031774888,0.692656923355569,"Estimable"
"65","17-24977",36.9259121965127,0.765400346102487,"Estimable"
"66","17-25205",36.8800201442815,0.683958499696868,"Estimable"
"67","17-25738",39.7159967972364,0.756960901266624,"Estimable"
"68","17-25927",38.4358914666884,0.680728214833623,"Estimable"
"69","17-25930",38.6526535595067,0.760332167106818,"Estimable"
"70","17-26647",38.9806502353179,0.758639801488515,"Estimable"
"71","17-26648",38.3109610061481,0.757770969719795,"Estimable"
"72","17-27510",36.8840305619996,0.767799476016602,"Estimable"
"73","17-27559",36.7261166709888,0.692698214849268,"Estimable"
"74","17-27649",36.2936643178731,0.686645709036795,"Estimable"
"75","17-27660",37.4634052639887,0.759347178598028,"Estimable"
"76","17-27914",37.3869952136146,0.745220545933346,"Estimable"
"77","17-28445",38.3893623161574,0.749549390904712,"Estimable"
"78","17-29513",37.6293904721485,0.684335551565903,"Estimable"
"79","17-29544",36.0536384455568,0.682954199179801,"Estimable"
"80","17-30178",37.7352002959713,0.751603244092492,"Estimable"
"81","17-30209",36.1570773863312,0.762286699326137,"Estimable"
"82","17-30219",38.8019078587759,0.752325403586616,"Estimable"
"83","17-30322",37.0373499977358,0.768851219664829,"Estimable"
"84","17-30333",36.9104099993916,0.76138504925903,"Estimable"
"85","17-30335",36.1911858631399,0.761336824386435,"Estimable"
"86","17-31124",37.5534097101107,0.683232481066639,"Estimable"
"87","17-31229",37.461660268414,0.689577690764601,"Estimable"
"88","17-31374",36.6968533087679,0.764305330652012,"Estimable"
"89","17-31541",39.9302863393811,0.685817975833473,"Estimable"
"90","17-31555",38.3023780427085,0.683712377007256,"Estimable"
"91","17-31616",37.1826633026656,0.766191699674426,"Estimable"
"92","07-19334",38.6175349624697,0.636783973424946,"Estimable"
"93","Kaskaskia",42.2567720024213,0.636366457673587,"Estimable"
"94","16-8048",37.1931307813068,0.646527164339856,"Estimable"
"95","16-10427",37.926828142963,0.759900532957007,"Estimable"
"96","16-11226",36.0320819944169,0.768004149688654,"Estimable"
"97","16-36048",37.2842363523257,0.695369855643227,"Estimable"
"98","16-36176",37.3698650722799,0.74830498536512,"Estimable"
"99","16-36206",37.3605124181163,0.739703949304508,"Estimable"
"100","US16-IL-065-030",38.8702896907936,0.67253201268491,"Estimable"
"101","US16-IL-065-109",38.8342550841432,0.713036639581487,"Estimable"
"102","US16-IL-065-111",38.2534635499681,0.67202995791475,"Estimable"
"103","US16-IL-065-125",39.9534082892088,0.715952256084254,"Estimable"
"104","OH13-88-61",37.1685684108942,0.827665738142426,"Estimable"
"105","OH15-191-52",37.1760161014783,0.838600785064712,"Estimable"
"106","Pio25R74",36.0924589477541,0.710735611607934,"Estimable"
"107","16-8737",38.9575147680964,0.753047156712435,"Estimable"
"108","16-18648",32.8349652454399,0.7467956007662,"Estimable"
"109","16-21764",37.345230348704,0.718864545117303,"Estimable"
"110","16-30848",34.117673803207,0.75200815116129,"Estimable"
"111","17-8057",38.0309973705051,0.687004606651847,"Estimable"
"112","17-9320",39.8903587666978,0.683411765744045,"Estimable"
"113","US16-IL-061-029",39.572340360669,0.670266156096737,"Estimable"
"114","US16-IL-061-074",38.654647700682,0.675190074703864,"Estimable"
"115","US16-IL-061-132",36.3777913544769,0.676148503140348,"Estimable"
"116","US16-IL-061-179",35.4921010650273,0.724673965117124,"Estimable"
"117","US16-IL-062-031",37.8174433304294,0.676169972747596,"Estimable"
"118","US16-IL-062-068",37.4100600181184,0.736437449034241,"Estimable"
"119","US16-IL-062-071",37.6485806051736,0.736923733372893,"Estimable"
"120","US16-IL-062-097",36.1628883453976,0.725894783806752,"Estimable"
"121","US16-IL-062-109",37.1206514522144,0.676919350887318,"Estimable"
"122","US16-IL-063-003",37.639597405351,0.706603657651169,"Estimable"
"123","US16-IL-063-154",37.5745812283206,0.666674550298024,"Estimable"
"124","US16-IL-064-005",37.1822626122088,0.703908751254325,"Estimable"
"125","US16-IL-064-083",35.4668244318089,0.701530122218784,"Estimable"
