"","germplasmName","predicted.value","std.error","status"
"1","17-2920",85.3147624122463,3.00769647413437,"Estimable"
"2","17-4326",87.4968187865802,2.9444730401493,"Estimable"
"3","17-5643",89.9624072802132,2.94863020731355,"Estimable"
"4","17-6412",78.2295002123568,2.92660247134988,"Estimable"
"5","17-6863",82.0702408664983,2.81753586927766,"Estimable"
"6","17-7136",72.1845027279851,2.93753507033867,"Estimable"
"7","17-7976",74.8223987489252,2.96964412562789,"Estimable"
"8","17-7978",90.7328608099212,2.93833949768033,"Estimable"
"9","17-8004",77.3911422828548,2.93419843877934,"Estimable"
"10","17-8036",86.9434563697541,2.87959124513507,"Estimable"
"11","17-8143",84.9056094831537,2.98882495486478,"Estimable"
"12","17-8152",85.6599282676212,2.98891223539509,"Estimable"
"13","17-8620",80.5087119782031,2.76572238422826,"Estimable"
"14","17-8626",85.2350916846204,2.73955672115753,"Estimable"
"15","17-8628",83.3300560340973,2.73053865368389,"Estimable"
"16","17-8636",77.6593688658868,2.73256227385185,"Estimable"
"17","17-8643",74.8915702536127,2.93286888814517,"Estimable"
"18","17-8738",73.7194463521787,2.9299572436255,"Estimable"
"19","17-8749",81.9642538647483,2.75190886877944,"Estimable"
"20","17-8824",86.4427036817089,2.70375151559576,"Estimable"
"21","17-8831",91.897875412868,2.72503663379228,"Estimable"
"22","17-8832",88.9244027512222,2.87882466190634,"Estimable"
"23","17-8930",88.083445884961,2.59748402811807,"Estimable"
"24","17-8948",83.958214076027,2.8107657746059,"Estimable"
"25","17-9161",77.8398854779304,2.97312235041147,"Estimable"
"26","17-9211",87.8806764066994,2.91494009707772,"Estimable"
"27","17-9339",90.2936857073828,2.73125414038992,"Estimable"
"28","17-9663",85.5542742141495,2.98418109477962,"Estimable"
"29","17-9832",84.4089129124576,2.97390172960252,"Estimable"
"30","17-9839",85.0490521194694,3.02855181454396,"Estimable"
"31","17-9968",85.3197978403407,2.90042090694799,"Estimable"
"32","17-10948",80.1766566048522,2.89650893347452,"Estimable"
"33","17-10964",78.6988343317089,2.9297877381557,"Estimable"
"34","17-12172",76.8995293376438,2.96600909646153,"Estimable"
"35","17-12564",76.7441548844937,2.86706181047763,"Estimable"
"36","17-12623",84.3844480161979,2.85366233944506,"Estimable"
"37","17-12954",82.3766092944519,2.87922520354909,"Estimable"
"38","17-13024",76.9488949434828,2.89143142308203,"Estimable"
"39","17-13938",82.8119178891184,2.99580556884362,"Estimable"
"40","17-15352",84.3836989024679,2.93644110090928,"Estimable"
"41","17-15667",79.7442392917822,2.98158678265711,"Estimable"
"42","17-17526",81.1276133446664,2.89045096431467,"Estimable"
"43","17-17739",90.5199018391345,2.70987757632192,"Estimable"
"44","17-18159",79.6560470688292,2.91979080639802,"Estimable"
"45","17-18176",79.1190262459686,2.94378135049839,"Estimable"
"46","17-18320",87.4138147448881,2.85688237451509,"Estimable"
"47","17-18529",79.9111060815287,2.91706963625545,"Estimable"
"48","17-18534",87.9152702305102,2.72548839158923,"Estimable"
"49","17-19355",86.052257678796,2.71841802202878,"Estimable"
"50","17-19939",68.2550175788159,2.92679697256079,"Estimable"
"51","17-20035",74.9638641129859,2.94107458028507,"Estimable"
"52","17-20346",83.1501015182273,2.90742490785407,"Estimable"
"53","17-20426",87.4905553925989,2.89791576690336,"Estimable"
"54","17-20472",73.293536184702,2.92946847022753,"Estimable"
"55","17-21447",81.0392163635409,2.9536760271014,"Estimable"
"56","17-21812",77.6156986843173,3.01435975715529,"Estimable"
"57","17-22168",81.7740225328152,2.92264888885045,"Estimable"
"58","17-23868",77.8926368584596,2.89097448879783,"Estimable"
"59","17-23874",93.1450897300876,2.72789583334232,"Estimable"
"60","17-23902",90.3612535361619,2.75450264129093,"Estimable"
"61","17-23904",91.4831654210005,2.73370443056205,"Estimable"
"62","17-23912",84.6135214129468,2.89618352911401,"Estimable"
"63","17-24508",78.2235539161977,2.68390539238142,"Estimable"
"64","17-24663",87.0255101052224,2.74490981988533,"Estimable"
"65","17-24977",78.9532804093441,2.98643306778007,"Estimable"
