,germplasmName,Weight..lb.,observationUnitName,notes,Decision,purdy pedigree
1210,IL2022F4S-17602,2.94,SI_Urb_23-43,"hd:L, obs:Poor",0,LES15-1066/12-26004//17-12172
1211,IL2022F4S-17603,4.32,SI_Urb_23-1187,"hd:N, obs:Poor",0,LES15-1066/12-26004//17-12172
1218,IL2022F4S-18002,6.42,SI_Urb_23-1498,"hd:L, obs:Poor",0,LES15-1066/14-DC-64-95-118//17-23904
1220,IL2022F4S-18101,5.77,SI_Urb_23-1483,"hd:N, obs:Poor",0,LES15-1066/14-DC-64-95-118//17-8620
1226,IL2022F4S-18204,5.86,SI_Urb_23-822,"hd:E, full plot, obs:Poor",0,LES15-1066/16-21764//16-11226
1232,IL2022F4S-18405,3.92,SI_Urb_23-244,"hd:L, obs:Poor",0,LES15-1066/16-21764//16Ae358USDA/ND)/IL12-26004
1234,IL2022F4S-18502,5.42,SI_Urb_23-818,"hd:N, obs:Poor",0,LES15-1066/16-21764//P0762A1-2-8/16-36048
1235,IL2022F4S-18503,3.56,SI_Urb_23-326,"hd:L, obs:Poor",0,LES15-1066/16-21764//P0762A1-2-8/16-36048
1236,IL2022F4S-18504,3.49,SI_Urb_23-140,"hd:L, obs:Fair",0,LES15-1066/16-21764//P0762A1-2-8/16-36048
1243,IL2022F4S-18705,3.3,SI_Urb_23-135,"hd:L, obs:Fair",0,MSFRSF2_21
1254,IL2022F4S-1902,2.66,SI_Urb_23-56,"hd:L, obs:Fair",0,15-27270/17-23868
1256,IL2022F4S-19101,3.21,SI_Urb_23-317,obs:Fair,0,MSFRSF2_21
1257,IL2022F4S-19102,5.37,SI_Urb_23-1292,"hd:E, obs:Poor",0,MSFRSF2_21
1269,IL2022F4S-19403,3.31,SI_Urb_23-809,"hd:L, late, obs:Normal",0,MSFRSF2_21
1284,IL2022F4S-19801,3.23,SI_Urb_23-162,"hd:L, obs:Poor",0,MSFRSF2_21
1285,IL2022F4S-19901,3.56,SI_Urb_23-1196,"hd:E, obs:Poor",0,MSFRSF2_21
1286,IL2022F4S-19902,4.89,SI_Urb_23-989,"hd:N, obs:Poor",0,MSFRSF2_21
1288,IL2022F4S-20001,4.88,SI_Urb_23-245,obs:Poor,0,MSFRSF2_21
1291,IL2022F4S-2001,2.92,SI_Urb_23-139,"hd:L, obs:Fair",0,15-27270/17-23904
1296,IL2022F4S-20103,3.1,SI_Urb_23-260,obs:Fair,0,MSFRSF2_21
1309,IL2022F4S-20305,3.44,SI_Urb_23-144,"hd:L, obs:Fair",0,MSFRSF2_21
1340,IL2022F4S-21101,6.42,SI_Urb_23-1503,"hd:E, obs:Poor",0,MSFRSF2_21
1343,IL2022F4S-21104,7.02,SI_Urb_23-1317,"hd:N, obs:Poor",0,MSFRSF2_21
1361,IL2022F4S-2701,3.4,SI_Urb_23-797,"hd:N, obs:Normal",0,15-30529/17-23868
1371,IL2022F4S-3302,3.96,SI_Urb_23-1315,"hd:N, obs:Poor",0,16-10427//LES15-1066/12-26004
1372,IL2022F4S-3303,3.98,SI_Urb_23-1509,"hd:N, obs:Poor",0,16-10427//LES15-1066/12-26004
1373,IL2022F4S-3304,3.17,SI_Urb_23-1409,"hd:N, very low seeding, obs:Normal",0,16-10427//LES15-1066/12-26004
1375,IL2022F4S-3501,3.32,SI_Urb_23-426,"hd:E, obs:Fair",0,16-11226/16-28802
1376,IL2022F4S-3502,3.11,SI_Urb_23-722,"hd:L, obs:Fair",0,16-11226/16-28802
1378,IL2022F4S-3701,5.28,SI_Urb_23-1476,"hd:N, obs:Poor",0,16-11226//16-36048/LES15-1066
1379,IL2022F4S-3702,2.74,SI_Urb_23-712,obs:Fair,0,16-11226//16-36048/LES15-1066
1380,IL2022F4S-3703,4.85,SI_Urb_23-1316,"hd:N, obs:Poor",0,16-11226//16-36048/LES15-1066
1387,IL2022F4S-4001,3.32,SI_Urb_23-32,"hd:N, obs:Fair",0,16-23766/17-23868
1388,IL2022F4S-401,3.19,SI_Urb_23-62,"hd:E, obs:Good",0,14-DC-64-95-118/17-23868
1393,IL2022F4S-4404,3.53,SI_Urb_23-153,obs:Poor,0,16-28802/17-12172
1401,IL2022F4S-4901,3.01,SI_Urb_23-417,obs:Fair,0,16-36048/15-4957
1404,IL2022F4S-5001,2.99,SI_Urb_23-734,"hd:N, obs:Good",0,16-36048/16-11226
1414,IL2022F4S-5107,2.94,SI_Urb_23-59,obs:Fair,0,16-36048/16-28802
1417,IL2022F4S-5203,3.17,SI_Urb_23-148,obs:Normal,0,16-36048/17-23868
1425,IL2022F4S-5602,3.09,SI_Urb_23-729,"hd:N, obs:Normal",0,16-36206/12-26004
1458,IL2022F4S-7701,3.14,SI_Urb_23-237,obs:Fair,0,17-12172/16-11226
1461,IL2022F4S-804,5.39,SI_Urb_23-1302,"hd:L, obs:Poor",0,15-23803/17-23868
1462,IL2022F4S-805,3.36,SI_Urb_23-528,obs:Fair,0,15-23803/17-23868
1463,IL2022F4S-807,3.4,SI_Urb_23-129,"hd:L, obs:Poor",0,15-23803/17-23868
1466,IL2022F4S-8101,2.38,SI_Urb_23-724,"hd:E, obs:Fair",0,17-13024/17-23904
1467,IL2022F4S-8102,4.17,SI_Urb_23-613,"hd:E, obs:Poor",0,17-13024/17-23904
1477,IL2022F4S-8501,3.16,SI_Urb_23-319,"hd:N, obs:Fair",0,17-23868/17-23904
1483,IL2022F4S-8801,6.23,SI_Urb_23-1095,"hd:E, obs:Poor",0,17-23902/12-26004
1491,IL2022F4S-901,2.18,SI_Urb_23-221,"hd:L, obs:Normal",0,15-23803/17-23904
1506,IL2022F4S-9307,5.68,SI_Urb_23-1411,"hd:N, obs:Poor",0,17-23904//15-30529/LES15-1066
1509,IL2022F4S-9401,5.7,SI_Urb_23-1100,"hd:N, obs:Poor",0,17-23904//LES15-1066/12-26004
1513,IL2022F4S-9405,5.08,SI_Urb_23-605,obs:Poor,0,17-23904//LES15-1066/12-26004
1517,IL2022F4S-9503,3.91,SI_Urb_23-993,"hd:N, obs:Poor",0,17-23904//LES15-1066/16-21764
1521,IL2022F4S-9602,4.12,SI_Urb_23-138,obs:Poor,0,17-27914/16-11226
1531,IL2022F4S-9803,3.2,SI_Urb_23-37,"hd:N, obs:Normal",0,17-29544/16-11226
1532,IL2022F4S-9805,3.45,SI_Urb_23-738,"hd:N, obs:Fair",0,17-29544/16-11226
