germplasmName,observationUnitName,notes
IL2021-43330,YT_Urb_23-1262,
2020-5250,YT_Urb_23-1263,
IL2021-29425,YT_Urb_23-1264,
IL2022-7956,YT_Urb_23-1265,
2020-12650,YT_Urb_23-1266,
IL2022-14110,YT_Urb_23-1267,"very dark green, npt"
IL16LCSDH-11-T-2666-206,YT_Urb_23-1268,
IL2021-36257,YT_Urb_23-1269,
IL2021-16807,YT_Urb_23-127,
IL2022-20179,YT_Urb_23-1270,
IL2022-22771,YT_Urb_23-1271,
2020-4951,YT_Urb_23-1272,
IL2022-22774,YT_Urb_23-1273,
19-14933,YT_Urb_23-1274,
IL2022-526,YT_Urb_23-1275,lots of heads
IL2021-46428,YT_Urb_23-1276,
IL16LCSDH-08-T-2663-55,YT_Urb_23-1277,"thick, clean, bright"
IL2022-2535,YT_Urb_23-1278,
IL2021-9529,YT_Urb_23-1279,
IL2022-6702,YT_Urb_23-128,ve
IL2022-11571,YT_Urb_23-1280,
IL2021-24143,YT_Urb_23-1281,
IL2021-17431,YT_Urb_23-1282,
IL2021-22578,YT_Urb_23-1283,
IL2021-30578,YT_Urb_23-1284,
IL2021-21123,YT_Urb_23-1285,
IL2021-16421,YT_Urb_23-1286,
2020-10001,YT_Urb_23-1287,
IL2021-17838,YT_Urb_23-1288,"ve, thivk"
IL16LCSDH-07-T-2662-225,YT_Urb_23-1289,
IL2022-18768,YT_Urb_23-129,
IL2021-16415,YT_Urb_23-1290,
IL2021-43913,YT_Urb_23-1291,thick
IL2021-18304,YT_Urb_23-1292,
IL2022-4228,YT_Urb_23-1293,
IL2022-6415,YT_Urb_23-1294,
2020-11426,YT_Urb_23-1295,"ve, tall"
IL2022-15108,YT_Urb_23-1296,
IL2022-10669,YT_Urb_23-13,
19-5632,YT_Urb_23-130,
IL2022-10260,YT_Urb_23-131,
IL2022-15167,YT_Urb_23-132,seg
IL2022-3818,YT_Urb_23-133,
IL16LCSDH-01-T-863-63,YT_Urb_23-134,
IL16LCSDH-09-T-2664-27,YT_Urb_23-135,
IL2022-14945,YT_Urb_23-136,
IL2022-16756,YT_Urb_23-137,
19-5122,YT_Urb_23-138,
07-19334,YT_Urb_23-139,
2020-7024,YT_Urb_23-14,
IL2022-17039,YT_Urb_23-140,
IL2022-15564,YT_Urb_23-141,
IL2021-23332,YT_Urb_23-142,
IL2021-41430,YT_Urb_23-143,
19-16176,YT_Urb_23-144,
IL2022-6330,YT_Urb_23-145,
IL2022-17314,YT_Urb_23-146,mixed
2020-6205,YT_Urb_23-147,
IL2022-11971,YT_Urb_23-148,
IL2022-16171,YT_Urb_23-149,
IL2022-568,YT_Urb_23-15,"mixed, ugly"
19-4151,YT_Urb_23-150,
IL2021-24365,YT_Urb_23-151,has triticale
2020-7877,YT_Urb_23-152,
IL2022-6047,YT_Urb_23-153,
IL2022-2654,YT_Urb_23-154,late
IL2021-21123,YT_Urb_23-155,
19-26456,YT_Urb_23-156,"erect, lots of heads, erect, lots of heads, thick"
IL2022-11479,YT_Urb_23-157,
IL2022-6364,YT_Urb_23-158,
2020-5376,YT_Urb_23-159,"thick, big heads"
2020-9801,YT_Urb_23-16,
IL2022-17152,YT_Urb_23-160,
IL16LCSDH-07-T-2662-201,YT_Urb_23-161,
IL2022-11165,YT_Urb_23-162,
IL16LCSDH-09-T-2664-18,YT_Urb_23-163,
IL2021-40847,YT_Urb_23-164,
IL2022-8613,YT_Urb_23-165,
2020-2032,YT_Urb_23-166,
IL2022-11032,YT_Urb_23-167,npt
IL2021-36723,YT_Urb_23-168,
IL2021-39924,YT_Urb_23-169,mixed
IL2021-16645,YT_Urb_23-17,
IL2021-15258,YT_Urb_23-170,mixed
IL2021-15149,YT_Urb_23-171,
IL16LCSDH-02-T-864-6,YT_Urb_23-172,
IL2022-15767,YT_Urb_23-173,"large flag leaf, dark green, long spikes"
IL2021-40751,YT_Urb_23-174,mixed
IL2021-28714,YT_Urb_23-175,
IL2022-15550,YT_Urb_23-176,
2020-16641,YT_Urb_23-177,
IL2022-16032,YT_Urb_23-178,
IL16LCSDH-04-T-2659-3,YT_Urb_23-179,
IL2022-2503,YT_Urb_23-18,
IL2022-11020,YT_Urb_23-180,
IL2022-3324,YT_Urb_23-181,
IL16LCSDH-09-T-2664-28,YT_Urb_23-182,
IL2022-20427,YT_Urb_23-183,
IL2021-44031,YT_Urb_23-184,"bpt, bright"
2020-17017,YT_Urb_23-185,
IL2022-4054,YT_Urb_23-186,
IL2021-16576,YT_Urb_23-187,
IL2022-11331,YT_Urb_23-188,
IL16LCSDH-03-T-865-28,YT_Urb_23-189,
IL2021-43909,YT_Urb_23-19,npt
IL2022-8152,YT_Urb_23-190,
2020-7035,YT_Urb_23-191,seg 
IL2021-5861,YT_Urb_23-192,
2020-1511,YT_Urb_23-193,
IL2022-5101,YT_Urb_23-194,"tall, bearded"
IL2021-27657,YT_Urb_23-195,
IL2021-40753,YT_Urb_23-196,
19-14845,YT_Urb_23-197,vve
IL2021-33678,YT_Urb_23-198,
IL2021-827,YT_Urb_23-199,seg 
IL16LCSDH-10-T-2665-41,YT_Urb_23-2,npt
IL2021-24143,YT_Urb_23-20,
2020-40034,YT_Urb_23-200,
IL2021-40765,YT_Urb_23-201,seg
IL2022-11348,YT_Urb_23-202,
IL2021-19736,YT_Urb_23-203,
IL2021-13734,YT_Urb_23-204,
IL2022-10006,YT_Urb_23-205,
2020-6415,YT_Urb_23-206,
IL2022-10837,YT_Urb_23-207,
IL2022-24144,YT_Urb_23-208,
IL2021-39238,YT_Urb_23-209,
IL2021-31432,YT_Urb_23-21,
IL2021-17958,YT_Urb_23-210,"thick, ve"
IL2021-13723,YT_Urb_23-211,seg 
IL2021-43359,YT_Urb_23-212,
IL2022-17621,YT_Urb_23-213,"thick, seg"
IL16LCSDH-01-T-863-10,YT_Urb_23-214,
IL2022-6449,YT_Urb_23-215,
IL2021-3532,YT_Urb_23-216,
IL2021-3558,YT_Urb_23-217,mixed 
IL2022-22816,YT_Urb_23-218,bronze
IL16LCSDH-01-T-863-6,YT_Urb_23-219,
IL2022-10376,YT_Urb_23-22,
2020-1847,YT_Urb_23-220,
IL2022-457,YT_Urb_23-221,
IL2022-7456,YT_Urb_23-222,
2020-9828,YT_Urb_23-223,
IL2021-20345,YT_Urb_23-224,mixed
IL2021-43966,YT_Urb_23-225,
IL2022-15777,YT_Urb_23-226,
2020-15256,YT_Urb_23-227,
IL2022-310,YT_Urb_23-228,
IL2021-26813,YT_Urb_23-229,
IL2021-6838,YT_Urb_23-23,
IL16LCSDH-09-T-2664-36,YT_Urb_23-230,
IL2021-16120,YT_Urb_23-231,has triticale 
IL2022-23224,YT_Urb_23-232,
IL2022-18908,YT_Urb_23-233,
IL16LCSDH-09-T-2664-20,YT_Urb_23-234,
IL2022-21310,YT_Urb_23-235,
IL2022-5841,YT_Urb_23-236,erect
2020-2749,YT_Urb_23-237,
IL16LCSDH-09-T-2664-24,YT_Urb_23-238,
IL2021-43962,YT_Urb_23-239,
2020-571,YT_Urb_23-24,
IL2022-19520,YT_Urb_23-240,good canopy closure
IL2021-39959,YT_Urb_23-241,
IL2021-38956,YT_Urb_23-242,
IL2021-28549,YT_Urb_23-243,many heads
2020-2770,YT_Urb_23-244,thick
IL2022-3345,YT_Urb_23-245,
IL2022-13915,YT_Urb_23-246,
IL2021-16459,YT_Urb_23-247,
IL2022-9547,YT_Urb_23-248,npt
IL2022-631,YT_Urb_23-249,
IL2021-27611,YT_Urb_23-25,
IL16LCSDH-11-T-2666-212,YT_Urb_23-250,
IL16LCSDH-06-T-2661-17,YT_Urb_23-251,mixed 
2020-5545,YT_Urb_23-252,vve
IL2021-29023,YT_Urb_23-253,
IL2022-14119,YT_Urb_23-254,
19-18725,YT_Urb_23-255,
IL2021-7544,YT_Urb_23-256,
IL2021-36450,YT_Urb_23-257,
IL2022-19572,YT_Urb_23-258,thick
IL2021-16726,YT_Urb_23-259,
IL16LCSDH-02-T-864-63,YT_Urb_23-26,
IL2021-33507,YT_Urb_23-260,
IL2021-41350,YT_Urb_23-261,
IL2022-16613,YT_Urb_23-262,
IL2021-28708,YT_Urb_23-263,npt
IL2021-22316,YT_Urb_23-264,
IL2021-17841,YT_Urb_23-265,npt
2020-9856,YT_Urb_23-266,
IL2022-13558,YT_Urb_23-267,
2020-10630,YT_Urb_23-268,
IL2021-26850,YT_Urb_23-269,
IL2021-32902,YT_Urb_23-27,
IL2022-2202,YT_Urb_23-270,
IL2021-16452,YT_Urb_23-271,
IL16LCSDH-04-T-2659-212,YT_Urb_23-272,thick
IL2021-14669,YT_Urb_23-273,
IL16LCSDH-02-T-864-29,YT_Urb_23-274,
IL2022-22210,YT_Urb_23-275,
IL2021-45701,YT_Urb_23-276,
IL2022-22870,YT_Urb_23-277,
IL16LCSDH-08-T-2663-55,YT_Urb_23-278,
IL2022-12047,YT_Urb_23-279,mixed
IL2022-9929,YT_Urb_23-28,npt
IL2022-14421,YT_Urb_23-280,
IL2021-36639,YT_Urb_23-281,"thick, clean"
IL2022-11561,YT_Urb_23-282,thick
IL2021-18451,YT_Urb_23-283,
IL2021-17968,YT_Urb_23-284,
IL2021-30660,YT_Urb_23-285,
IL2022-16374,YT_Urb_23-286,
IL2022-23178,YT_Urb_23-287,
IL2021-39615,YT_Urb_23-288,
IL2021-28411,YT_Urb_23-289,
IL2021-40608,YT_Urb_23-29,
IL2021-43205,YT_Urb_23-290,
IL2022-6378,YT_Urb_23-291,
IL2022-15672,YT_Urb_23-292,
IL16LCSDH-01-T-863-32,YT_Urb_23-293,"npt, late"
IL2021-25362,YT_Urb_23-294,
IL2022-24204,YT_Urb_23-295,
IL2021-16330,YT_Urb_23-296,
IL2022-5571,YT_Urb_23-297,
IL2022-9223,YT_Urb_23-298,late
IL2021-13713,YT_Urb_23-299,
IL2021-15263,YT_Urb_23-3,lodging 
IL2021-44026,YT_Urb_23-30,
IL2021-36630,YT_Urb_23-300,
IL2022-16476,YT_Urb_23-301,
IL2021-16419,YT_Urb_23-302,
IL2021-22113,YT_Urb_23-303,
IL2021-17156,YT_Urb_23-304,
IL2022-8061,YT_Urb_23-305,
2020-15403,YT_Urb_23-306,
IL2021-15207,YT_Urb_23-307,
2020-2010,YT_Urb_23-308,
IL2022-3320,YT_Urb_23-309,
IL2022-13824,YT_Urb_23-31,
IL2022-6160,YT_Urb_23-310,
19-25469,YT_Urb_23-311,
IL2022-12417,YT_Urb_23-312,
IL2021-39857,YT_Urb_23-313,
IL2021-34213,YT_Urb_23-314,
2020-12650,YT_Urb_23-315,
IL2022-7648,YT_Urb_23-316,
2020-7917,YT_Urb_23-317,
IL2022-15115,YT_Urb_23-318,
IL2021-40648,YT_Urb_23-319,
19-17546,YT_Urb_23-32,
IL2022-9472,YT_Urb_23-320,
IL16LCSDH-03-T-865-46,YT_Urb_23-321,nice appearance
IL2022-20848,YT_Urb_23-322,
IL2022-7172,YT_Urb_23-323,
IL2021-29425,YT_Urb_23-324,
IL2021-29002,YT_Urb_23-325,
IL2022-7972,YT_Urb_23-326,erect
IL2021-14267,YT_Urb_23-327,
IL2022-641,YT_Urb_23-328,
IL2021-24847,YT_Urb_23-329,
IL2022-7049,YT_Urb_23-33,
IL2021-43877,YT_Urb_23-330,
19-13451,YT_Urb_23-331,
IL2022-22629,YT_Urb_23-332,mixed
IL16LCSDH-04-T-2659-20,YT_Urb_23-333,
IL2022-6407,YT_Urb_23-334,mixed 
IL2022-12948,YT_Urb_23-335,
2020-17006,YT_Urb_23-336,"thick, bright "
IL2021-28712,YT_Urb_23-337,
2020-1362,YT_Urb_23-338,
IL2021-21356,YT_Urb_23-339,
IL2021-15134,YT_Urb_23-34,
2020-6254,YT_Urb_23-340,mixed
IL2022-534,YT_Urb_23-341,"short, uniform "
2020-10435,YT_Urb_23-342,
IL2022-5528,YT_Urb_23-343,seg 
2020-16145,YT_Urb_23-344,
25R76,YT_Urb_23-345,
IL2022-9016,YT_Urb_23-346,"lime green, bearded, clean"
IL2022-8658,YT_Urb_23-347,
IL2022-12933,YT_Urb_23-348,
IL2021-44064,YT_Urb_23-349,
IL2022-2206,YT_Urb_23-35,
IL2022-11566,YT_Urb_23-350,
19-21848,YT_Urb_23-351,
IL2021-28970,YT_Urb_23-352,
IL2021-41738,YT_Urb_23-353,
IL2022-18920,YT_Urb_23-354,
IL2021-19404,YT_Urb_23-355,big spike 
IL2022-16748,YT_Urb_23-356,
19-14617,YT_Urb_23-357,
IL2022-4145,YT_Urb_23-358,
IL2021-31359,YT_Urb_23-359,
19-18957,YT_Urb_23-36,vve
IL2021-43878,YT_Urb_23-360,
IL2022-11028,YT_Urb_23-361,thick
IL2021-36725,YT_Urb_23-362,
IL16LCSDH-06-T-2661-202,YT_Urb_23-363,
IL2022-7819,YT_Urb_23-364,
2020-10322,YT_Urb_23-365,
2020-10415,YT_Urb_23-366,
IL2021-17863,YT_Urb_23-367,
IL2022-7077,YT_Urb_23-368,
IL2021-40862,YT_Urb_23-369,
IL2022-7612,YT_Urb_23-37,
IL2022-23210,YT_Urb_23-370,
IL16LCSDH-06-T-2661-19,YT_Urb_23-371,
IL2022-20874,YT_Urb_23-372,
IL2021-3567,YT_Urb_23-373,
IL2022-24102,YT_Urb_23-374,
IL2021-18124,YT_Urb_23-375,
IL16LCSDH-02-T-864-59,YT_Urb_23-376,
19-13978,YT_Urb_23-377,ve
IL2022-9457,YT_Urb_23-378,
IL2021-19718,YT_Urb_23-379,
IL2022-3950,YT_Urb_23-38,
IL2022-8157,YT_Urb_23-380,
IL2021-31004,YT_Urb_23-381,
IL2022-19116,YT_Urb_23-382,
IL2022-19302,YT_Urb_23-383,
2020-5533,YT_Urb_23-384,
IL2022-15074,YT_Urb_23-385,
IL2022-20441,YT_Urb_23-386,
2020-5416,YT_Urb_23-387,
IL2021-43972,YT_Urb_23-388,"thick, bright "
2020-7719,YT_Urb_23-389,
IL2022-20155,YT_Urb_23-39,mixe
IL2022-3705,YT_Urb_23-390,segregating
IL2021-43415,YT_Urb_23-391,
IL2022-6714,YT_Urb_23-392,
2020-6435,YT_Urb_23-393,
IL2022-12170,YT_Urb_23-394,
19-22757,YT_Urb_23-395,
IL2022-10716,YT_Urb_23-396,
IL2022-14575,YT_Urb_23-397,"seg bearded, tall"
2020-6633,YT_Urb_23-398,
2020-13902,YT_Urb_23-399,
IL2022-14264,YT_Urb_23-4,
19-21467,YT_Urb_23-40,thin
IL2022-7876,YT_Urb_23-400,tall
IL2022-5578,YT_Urb_23-401,
IL2022-15947,YT_Urb_23-402,
AgriMAXX503,YT_Urb_23-403,
IL2021-19401,YT_Urb_23-404,
IL2021-46842,YT_Urb_23-405,
IL16LCSDH-09-T-2664-43,YT_Urb_23-406,
IL2022-13476,YT_Urb_23-407,
IL2021-34113,YT_Urb_23-408,
IL2022-17738,YT_Urb_23-409,
IL2021-25339,YT_Urb_23-41,seg
2020-4907,YT_Urb_23-410,
19-26709,YT_Urb_23-411,vve
IL2021-15809,YT_Urb_23-412,
